"racquet_id","cleaned_description"
"RCHEAD-HBMPUL","Boom MP UL 2026: lightest Boom model for maximum maneuverability for beginners, early intermediates, or those wanting ease of use. Unique tear-drop head shape for a more forgiving hitting area; fast at net for easy volleying. Hy-Bor boron fibers for stable, connected feel; Auxetic 2 for response; Graphene Inside for stability and power. Arm-friendly comfort."
"RCHEAD-BMPULA","Same specs as Boom MP UL 2026 in a purple cosmetic. Lightest Boom for maximum maneuverability; unique tear-drop head shape for forgiveness; fast for easy volleying. Hy-Bor for stable feel; Auxetic 2 for response; Graphene Inside for stability and power. Arm-friendly."
"RCHEAD-HBMELT","Boom Elite 2026: 107in² head for performance even on off-center contact; unique head shape for comfort and power beyond conventional equivalents; open string pattern for a high launch angle and enough spin to bring the ball down. Light weight for fast, easy shot-making from all areas of the court including serve. Great price."
"RCHEAD-HBOOMP","Boom Pro 2024: heaviest Boom model for more stability and mass-based power; surgical 98in² head for greater control. Unique head shape creates a more forgiving upper contact zone with larger spin window for near-effortless power and spin. Auxetic 2 for optimized response; Morph Beam blends box and angular cross-sections for control and stability; Graphene Inside for power and stability."
"RCHEAD-HBOOMM","Boom MP 2024: 11oz strung with sub-320 swingweight for explosive baseline speed and quick net handling; unique head shape for a more forgiving upper contact zone and larger spin window for near-effortless power and spin. Auxetic 2 for response; Morph Beam for control and stability; Graphene Inside for power and stability. For intermediate and advanced players wanting a speedy, comfortable player's racquet."
"RCHEAD-BOOMMA","Same specs as Boom MP 2024 (alternate cosmetic). 11oz strung with sub-320 swingweight; unique forgiving head shape; Auxetic 2 for response; Morph Beam for control and stability; Graphene Inside. Near-effortless power and spin for intermediate and advanced players."
"RCHEAD-BOOMMN","Same specs as standard Boom MP but with a NYC/US Open neon cosmetic. Explosive baseline speed and quick net handling; unique forgiving head shape for near-effortless power and spin; Auxetic 2 for response; Morph Beam for control and stability; Graphene Inside for power and stability."
"RCHEAD-HBOOMT","Boom Team 2024: 102in² head for slightly more forgiveness and power than the MP with enough spin to bring the ball down hard. Softer beam for more arm-friendly ride; Auxetic 2 for response; Morph Beam for control and stability; Graphene Inside for power and stability. For intermediate players wanting easy power and spin-friendly targeting."
"RCHEAD-BOOMLN","Boom MP L Neon: same specs as standard Boom MP L in a NYC/US Open cosmetic. Impressive comfort and controllable power for improving intermediates; extremely fast; unique head shape for more forgiving contact zone and larger spin window. Auxetic 2; Morph Beam for control and stability; Graphene Inside for power."
"RCHEAD-HBTLA","Boom Team L 2024 Mint: lightest and most forgiving Boom model with 107in² head; extended 27.4"" length for dangerous serve power; extremely fast for beginner/early intermediate players. Softer beam for arm-friendly ride; Auxetic 2 for response; Morph Beam for control and stability; Graphene Inside for power. For those wanting maneuverability, power and comfort."
"RCHEAD-HBMPL","Boom MP L 2024: lighter, faster version of the Boom MP for improving intermediates; unique head shape for more forgiving contact zone and larger spin window. Comfortable and spin-friendly; Auxetic 2 for response; Morph Beam for control and stability; Graphene Inside for power and stability."
"RCHEAD-XCEEDB","Under 10oz strung for easy maneuverability; 107in² head for comfort and performance even on off-center contact. INNEGRA fiber technology increases stability and decreases vibration. For improving players wanting a maneuverable racquet with a luxurious head size at a great price."
"RCHEAD-HGPRR","Gravity Pro 2025: thinnest beam in the Gravity family with 18x20 pattern and 59-RA stiffness for laser-like trajectory and buttery feedback. 329 swingweight for decent stability and plow-through; teardrop head shape provides a larger, more responsive contact area near the tip. Further softened beam for even better feel; Auxetic 2 for feel and response; Graphene Inside for power and stability."
"RCHEAD-HGTRR","Gravity Tour 2025: updated to 98in² head and 16x19 pattern (from 100in² and 18x20) for a higher launch angle and easier depth; more stable swingweight for plow-through. Unique teardrop head shape gives a larger contact zone and bigger spin window for a uniquely comfortable and responsive feel. Auxetic 2 for feel and response; Graphene Inside for power and stability. Pairs spin-friendly precision with buttery Gravity feel."
"RCHEAD-HGMPG","Gravity MP 2025: 22mm beam with 16x20 pattern and very low stiffness for controllable power with outstanding touch and feel. Sub-325 swingweight for easy intermediate acceleration; teardrop head shape for a more responsive contact area near the tip. Softer beam than previous generation for an even more buttery feel; Auxetic 2 for feel and response; Graphene Inside for power and stability."
"RCHEAD-HGMPXL","Gravity MP XL 2025: extends the Gravity MP's 16x20 pattern and very flexible 22mm beam with a 27.5"" length for extra power on groundstrokes and serves. 325+ swingweight for stability against higher pace. Teardrop head shape for a more forgiving, powerful, and spin-friendly feel near the tip; Auxetic 2 for feel and response; Graphene Inside for stability and power. For experienced players wanting powerfully precise feel."
"RCHEAD-HGMLPG","Gravity MP L 2025: 10.4oz strung with effortless acceleration for improving players; extremely soft beam for uniquely arm-friendly response. Teardrop head shape for a larger, more responsive contact area near the tip; slightly more head-light balance and further softened beam for even better feel. Auxetic 2 for feel and response; Graphene Inside for power and stability. Great for players wanting controllable power and arm-friendly comfort."
"RCHEAD-HRTMPG","Gravity Team 2025: 104in² head for dedicated beginners and early intermediates; lighter and faster than the previous generation for easier ball-striking. Teardrop head shape for more responsive feel near the tip; slightly more head-light balance and softer beam for better feel. Auxetic 2 for feel and response; Graphene Inside for power and stability. User-friendly handling with controllable power."
"RCHEAD-HPRR","Radical Pro 2025: 98in² head with 16x19 pattern featuring tightly spaced mains for greater control; thinnest beam in the Radical family for exceptional ball feedback. 330 swingweight for stability and plow-through while delivering enough pop on full cuts. Auxetic 2 for feel and response; Graphene Inside for power and stability. For experienced players wanting plush plow-through and precision."
"RCHEAD-HRMP","Radical MP 2025: 98in² head with 16x19 pattern and tightly spaced mains for control-oriented targeting; thinner shaft and tip (for feel) and thicker midsection (for stability). Sub-325 swingweight for aggressive all-court speed with decent stability. Auxetic 2 for feel and response; Graphene Inside for power and stability. For players wanting a speedy player's racquet with controllable power."
"RCHEAD-HRTOUR","Radical Tour: returns to 18-main string pattern for laser-like accuracy; 325 swingweight for a nice balance of speed and stability; outstanding touch around the net. Auxetic for feel; Graphene Inside for power and stability. Stiffness updated to 63. For experienced players wanting a solid-feeling racquet with great control."
"RCHEAD-HRRT","Radical Team 2025: 102in² head for more forgiveness and power than the MP and Pro; very maneuverable swingweight for ease of use; 16x19 with tightly spaced mains for confident targeting. Flexible arm-friendly beam; outstanding feel; very fast at net. Auxetic 2 for feel and response; Graphene Inside for power and stability. For rising intermediates wanting a very speedy racquet with great feel and easy targeting."
"RCHEAD-RADELT","Radical Elite 2025: 10oz strung for beginners, early intermediates, and juniors; slightly larger-than-midplus head for easier clean contact. 16x19 string pattern with tighter center mains for a controlled, predictable response. Great for learning the game or occasional players wanting a light racquet with controllable power."
"RCHEAD-HRPR","Radical Pro 2023: 98in² head with the thinnest beam in the Radical family for a seductive level of control on full swings; over 11.5oz strung for redirecting big-hitter pace and delivering pop. Auxetic construction in yoke for improved ball feedback; Graphene Inside for stability and easy power; Control Pattern with tighter center mains for precise trajectory. Solid feel at impact."
"RCHEAD-HMPR","Radical MP 2023: lighter and faster than the Pro for easier spin, scrambling on defense, and quick net reactions. Auxetic construction in yoke for improved ball feedback; Graphene Inside for stability and power; Control Pattern for precise trajectory. Good for intermediate and advanced players wanting an accurate, versatile player's racquet."
"RCHEAD-HRTR","Radical Team 2023: 102in² head for slightly more powerful and forgiving response than the MP and Pro; wonderfully fast for shots on the run and quick net reactions. Auxetic construction for improved feel; Graphene Inside for stability and power; tighter center mains for targeting confidence. For rising intermediates wanting a speedy racquet with easy targeting."
"RCHEAD-HGXTRPM","Graphene XT Radical MP (pre-strung): 98in² head, 63RA stiffness, and tight center mains for impressive control with enough pop to close out points. Graphene XT provides polarized weight distribution for easier power; 11oz for easy maneuverability; Dynamic String Pattern for center control and edge forgiveness. Heavy topspin capability with more pop and comfort than prior Radicals. For intermediates and advanced players wanting a maneuverable player's racquet with great feel."
"RCHEAD-HGXTRS","Graphene XT Radical S (pre-strung): 102in² head for larger sweetspot and better off-center performance; lighter and faster than predecessor with Dynamic String Pattern for directional control. Graphene XT for optimal weight distribution and easier power. Fast, maneuverable, and accurate on full swings. For strong beginners and developing intermediates wanting the control of a player's racquet without the weight."
"RCHEAD-XCEEDR","IG Radical Xceed (pre-strung): light weight for fast acceleration and easy access to pace and spin; great all-around performance. INNEGRA fiber technology for increased stability and decreased vibration. For strong beginners, intermediates, and recreational players wanting premium performance at an outstanding price."
"RCHEAD-HREP24","Extreme Pro 2024: 98in² head for greater command on big-hitting cuts; spin potential through Spin Grommets for greater string movement and snapback; Spin Shaft for torsional stability and better topspin mechanics. Auxetic 2 in yoke and handle for feel and response; Graphene Inside for stability and power. For aggressive players wanting spin, power, and precision."
"RCHEAD-HREM24","Extreme MP 2024: approximately 11.2oz for intermediates but tempting for advanced players wanting explosive baseline speed and quick net handling. Spin Grommets for greater string movement and spin; Spin Shaft for torsional stability; Auxetic 2 for feel and response; Graphene Inside for stability and power. For those looking to play aggressive tennis."
"RCHEAD-HEMPL24","Extreme MP L 2024: lighter version of the Extreme MP for early intermediates wanting to play aggressive tennis; Spin Grommets for snapback and spin; Spin Shaft for torsional stability; Auxetic 2 for feel and response; Graphene Inside for stability and power. User-friendly entry into the Extreme family's spin and power."
"RCHEAD-HRET24","Extreme Team 2024: 105in² head for dedicated beginners and early intermediates; comfort and performance remain high even on off-center contact. Spin Grommets for snapback; Spin Shaft for torsional stability; Auxetic 2 for feel and response; Graphene Inside for stability and power. Perfect tool for playing aggressive tennis with an easy learning curve."
"RCHEAD-HRELT","Extreme Elite 2024: very light and fast for rising players wanting aggressive tennis; Spin Grommets for snapback and spin; Spin Shaft for torsional stability; Auxetic 2 for feel and response; Graphene Inside for power and stability. User-friendly entry into the Extreme family's spin and power."
"RCHEAD-360XM","Graphene 360+ Extreme MP: slightly higher RA for a crisper, more powerful feel while remaining one of the most arm-friendly racquets in its class. Solid at impact with enough dynamic mass for trading heavy balls; fast enough for spin and on-the-run winners. Quick at net and great on aggressive serves. Graphene 360+ for stability and power; reinforced Spin Shaft for torsional stability; 360 Spin Grommets for heavy ball rotation. For aggressive players wanting power and spin."
"RCHEAD-HPRMP","Prestige MP: 18x19 pattern with 21.5mm box beam and unique 99in² head for pinpoint accuracy; under 12oz but feels solid against higher pace. Lower RA stiffness for softer, more comfortable feel with phenomenal ball feedback. Auxetic 2 for response; Graphene Inside for power and stability. Outstanding for intermediate and advanced players wanting pinpoint accuracy and impressive touch at net."
"RCHEAD-PRPROR","Prestige Pro 2023: 18x20 pattern and thin 20mm box beam for laser-like precision and outstanding feel; slightly more flexible than previous generation for even more buttery, controlled feel while moving faster than Prestiges of old. Auxetic 2 for feel and response; Graphene Inside for power and stability. For experienced players wanting traditional player's racquet control and feel."
"RCHEAD-THPRTR",""
"RCHEAD-HPRMPL","Prestige MP L: sub-11oz with sub-315 swingweight and open 16x19 for user-friendly speed and spin-friendly targeting ideal for intermediates. Auxetic 2 for feel and response; Graphene Inside for stability and power. Outstanding option for players wanting faster, more spin-friendly Prestige without sacrificing control and feel."
"RCHEAD-HINMP","Instinct MP 2025: explosive acceleration with open string pattern and tapered beam for easy pace and spin; fast at net for reaction volleys. Sub-65 RA for arm-friendly comfort — one of the most comfortable options in its class. Auxetic in yoke for crisp connected feel; Graphene Inside for stability and power. Outstanding value."
"RCHEAD-HINTL","Instinct Team L 2025: 107in² head and open 16x19 for impressive power, spin, and comfort; slightly extended length for extra pop on groundstrokes and serves. Sub-65 RA for arm-friendly feel. Auxetic in yoke for feel; Graphene Inside for stability and power. Good for beginners, early intermediates, and senior doubles players wanting a speedy racquet with controllable power."
"RCHEAD-HINSPW","Instinct PWR 110 2025: 110in² head for beginners and early intermediates; raw speed for easy baseline and net play; 27.4"" length for a boost in power on serves. Auxetic for crisp, connected feel; Graphene Inside for stability and power. For players wanting a maneuverable racquet with high levels of comfort and power."
"RCHEAD-TIS6","Ultra-light with excellent power from anywhere on the court; large head for forgiveness and easier spin access for beginners and more experienced players. Impressive stability for comfortable feel; maneuverable for doubles play."
"RCHEAD-HSQUR","Extremely head-light for effortless acceleration; 16x18 pattern for a high launch angle and spin potential to bring the ball down. Sub-60 RA for a soft, arm-friendly response without feeling wobbly on off-center impact; Double Tube construction filters vibrations; strategically placed foam for further softening. Ultra-quick at net with impressive stability for the weight. For players wanting ease of use."
"RCYONEX-VC988G","VCORE 98 8th Gen: 98in² head with Yonex's modified Isometric shape for a wider spin window and easier power; more precise and predictable response than the VCORE 100. Moves surprisingly fast; new aerodynamic and thickened beam for added stability and power; wider grommet holes for greater snapback; Servo Filter elastic film for vibration dampening; Vibration Dampening Mesh in handle. For intermediate and advanced players wanting a spin-friendly weapon with a plush, lively feel."
"RCYONEX-VC108G","VCORE 100 8th Gen: modified Isometric head for a wider spin window, easier power, and higher launch angle; swingweight in the mid-320s for stable yet all-court-capable play. New aerodynamic and thickened beam for added stability and power; wider grommet holes for greater snapback; Servo Filter for vibration dampening; Vibration Dampening Mesh in handle. For intermediate and advanced players wanting a plush, powerful racquet with impressive spin."
"RCYONEX-VC1L8G","VCORE 100L 8th Gen: sub-315 swingweight for impressive speed ideal for rising intermediates; modified Isometric head for wider spin window and easier power. New aerodynamic and thickened beam for added stability and power; wider grommet holes for greater snapback; Servo Filter for vibration dampening; Vibration Dampening Mesh in handle. Plush feel; great for spin and on-the-run play."
"RCYONEX-VC1D8G","VCORE 100D 8th Gen: 16x20 string pattern for a more precise and controlled response ideal for those who drive the ball through the court; quite spin-friendly nonetheless. Updated aerodynamic beam with added power and stability; wider grommet holes for snapback; inner tip trench for flex and pocketing; Servo Filter for vibration dampening; Vibration Dampening Mesh in handle. ISOMETRIC head for forgiving feel. For players wanting control with the signature plush VCORE feel."
"RCYONEX-VC958G","VCORE 95 8th Gen: midsize head with 16x20 pattern for impressive accuracy on full cuts; sub-64 RA for arm-friendly feel and outstanding ball feedback; ISOMETRIC head for plush, forgiving response. New aerodynamic and thickened beam; wider grommet holes for greater snapback; Servo Filter for vibration dampening; Vibration Dampening Mesh in handle. For players wanting a user-friendly midsize racquet that doesn't skimp on comfort or spin."
"RCYONEX-VC9P8G","VCORE 98+ 8th Gen: extended 27.5"" length for heavier groundstrokes and impressive serve power; 98in² head for precision; beefier swingweight for stable feel against big hitters; sub-64 RA for plush, arm-friendly ride. New aerodynamic and thickened beam for stability and power; wider grommet holes for snapback; Servo Filter for vibration dampening. For aggressive players wanting a powerful, precise extended-length option."
"RCYONEX-VC1P8G","VCORE 100+ 8th Gen: most powerful VCORE model; extended 27.5"" length with 16x19 pattern and beefy swingweight for very powerful, spin-loaded groundstrokes and serves. Harder to swing than the standard length but offers impressive stability and plow-through. New aerodynamic and thickened beam; wider grommet holes for snapback; Servo Filter for vibration dampening; Vibration Dampening Mesh in handle; ISOMETRIC head for plush feel."
"RCYONEX-VC9T8G","VCORE 98 Tour 8th Gen: heaviest VCORE model for those who can leverage its mass; more challenging to swing but better at absorbing and redirecting big-hitter pace with serious knock-out power. Rock solid on volleys with enough pop to finish with authority. New aerodynamic and thickened beam for stability and power; wider grommet holes for snapback; Servo Filter for vibration dampening; Vibration Dampening Mesh in handle. For experienced players wanting plow-through, pop, and spin."
"RCYONEX-YVC95",""
"RCYONEX-YVC280","VCORE 100L 2023: sub-315 swingweight in an under-11oz frame for easy spin and pace loading for rising intermediates; redesigned frame geometry with wider upper hoop surface for a more stable, powerful, and spin-friendly experience. SIF Grommets with silicone oil infusion for reduced string friction and greater snapback; lower RA than previous versions for better feedback; 2G-NAMD FlexForce Graphite for effective deflection and snap-back through impact."
"RCYONEX-VC07ACE","VCORE Ace (pre-strung): under 10oz for remarkable speed; 98in² head for easy placement from all areas of the court. ISOMETRIC head shape for a more plush and forgiving feel than competing racquets. Fast and accurate; great combination of speed and comfort for improving players at an incredible price."
"RCYONEX-EZ10BB","EZONE 100 2025: plush comfort with spin-friendly targeting and controllable power; very fast for hitting on the run and quick net reactions with enough pop and accuracy to finish points. Thickened upper hoop beam for power and stability; inner groove for optimal bending; Minolon fibers in shaft for vibration dampening; 2G NAMD SPEED for energy transfer; ISOMETRIC head for plush, responsive feel. For intermediate and advanced players wanting speed and easy spin."
"RCYONEX-EZ98BB","EZONE 98 2025: speed, comfort, and precision combined; 98in² head for control-oriented play with remarkable speed; lower RA than previous generation for an even more buttery feel. Thickened upper hoop beam for power and stability; inner groove for optimal bending; Minolon fibers for dampening; 2G NAMD SPEED for energy transfer; ISOMETRIC head for a forgiving, plush response. Exceptional feel and ultra-easy shot placement."
"RCYONEX-LEZ10B","EZONE 100+ 2025: extended 27.5"" length for huge power on groundstrokes and serves; spin-friendly precision for ambitious targeting. Thickened upper hoop beam for power and stability; inner groove for optimal bending; Minolon fibers for dampening; 2G NAMD SPEED for energy transfer; ISOMETRIC head for plush, responsive feel. For aggressive players wanting to supercharge their groundstrokes and serves."
"RCYONEX-EZ1LBB","EZONE 100L 2025: lighter version of the EZONE 100 for intermediate players and dedicated beginners; lightning fast for easy power and spin mechanics mastery. Thickened upper hoop beam for power and stability; inner groove for optimal bending; Minolon fibers for dampening; 2G NAMD SPEED for energy transfer; ISOMETRIC head for plush, responsive feel."
"RCYONEX-EZ1SLB","EZONE 100SL 2025: very light for easy racquet preparation and confident ball-striking; enough pop for keeping opponents in check with spin potential to bring the ball down accurately; fast at net. Thickened upper hoop beam for power and stability; inner groove for optimal bending; Minolon fibers for dampening; 2G NAMD SPEED for energy transfer; ISOMETRIC head for plush feel. Easy learning curve for aggressive tennis."
"RCYONEX-EZ105B","EZONE 105 2025: 105in² head for more forgiving feel than a standard midplus for dedicated beginners, rising intermediates, and doubles players. Thickened upper hoop beam for power and stability; inner groove for optimal bending; Minolon fibers for dampening; 2G NAMD SPEED for energy transfer; ISOMETRIC head for plush, responsive feel. Arm-friendly feel is a bonus."
"RCYONEX-EZ115B","EZONE 115 2025: new to the EZONE family; 115in² head for maximum forgiveness on off-center contact; extended 27.5"" length for extra power on serves and groundstrokes; open 16x18 pattern for spin. Thickened upper hoop beam for power and stability; Minolon fibers for dampening; 2G NAMD SPEED for energy transfer; ISOMETRIC head for plush feel. For players wanting ultra arm-friendly comfort and dangerous power."
"RCYONEX-EZ110B","EZONE 110 2025: easy power and arm-friendly comfort for beginner and intermediate players; extended 27.5"" length for easier groundstroke and serve power. Thickened upper hoop beam for stability; inner groove for optimal bending; Minolon fibers for dampening; 2G NAMD SPEED for energy transfer; ISOMETRIC head for plush, responsive feel. Great for doubles players wanting powerful serving and big put-away power at net."
"RCYONEX-EZACBB",""
"RCYONEX-EZAPR","EZONE Alpha 100 (pre-strung): light weight for user-friendly performance helping less advanced players gain confidence; open string pattern for spin; powerful beam for stability and power; high launch angle for easier depth. Minolon in shaft for softer feel; Vibration Dampening Mesh in handle for comfort; ISOMETRIC head for plush, forgiving response. Outstanding value for rising intermediate players."
"RCYONEX-EZAPLR","EZONE Alpha 100L (pre-strung): lighter than the Alpha 100 for even easier stroke mechanics mastery; under 10oz; open pattern for spin; powerful beam for stability; Minolon in shaft for softer impact feel; Vibration Dampening Mesh in handle for comfort; ISOMETRIC head for plush, forgiving response. For novice players, weekend warriors, and anyone seeking ease of use at a great price."
"RCYONEX-EZASLB","EZONE Alpha 100SL (pre-strung): lightest EZONE model at only 9oz strung for maximum maneuverability for strong juniors, beginners, or anyone wanting ease of use. Open pattern for spin; powerful beam for stability; Minolon for softer impact; Vibration Dampening Mesh in handle for comfort; ISOMETRIC head for comfortable, forgiving feel. Outstanding value."
"RCYONEX-PERM97","Percept 97 Midnight Navy: same specs as standard Percept 97 in a navy blue cosmetic. Sub-320 swingweight for easy spin and swift net reactions; buttery flex point with 97in² head for confident control on full cuts. Elongated shaft for pocketing, flexibility, and control; stiffer face for stability and power; Servo Filter for vibration dampening; 2G-NAMD Flex Force for optimal frame flex. Light and spin-friendly player's racquet with impressive control."
"RCYONEX-PERM9D","Percept 97D Midnight Navy: same specs as standard Percept 97D in a midnight navy cosmetic. 97in² head with dense 18x20 for extremely accurate ball-striking; flexible 21mm beam for phenomenal ball feedback; near 12oz with head-light balance for fast enough spin and front-court reactions. Elongated shaft for pocketing and control; Servo Filter for dampening; 2G-NAMD Flex Force for optimal flex."
"RCYONEX-PERM1D","Percept 100D Midnight Navy: same specs as standard Percept 100D in a midnight navy cosmetic. Tight 18x19 for precise, predictable trajectory on full cuts; sub-320 swingweight for spin and quick net reactions. Elongated shaft for pocketing, control; stiffer face for stability and power; Servo Filter for dampening; 2G-NAMD Flex Force for optimal flex."
"RCYONEX-PERM","Percept 100 Midnight Navy: same specs as standard Percept 100 in a midnight navy cosmetic. Specializes in raw speed for scrambling, spin, and quick net reactions. Elongated shaft for pocketing, flexibility, and control; stiffer face and higher flex point for stability and power; Servo Filter for vibration dampening; 2G-NAMD Flex Force for optimal flex. Arm-friendly comfort."
"RCYONEX-PERC97","Percept 97: sub-320 swingweight for easy spin from the backcourt and swift net reactions; buttery flex point with 97in² head for control and confidence on full cuts. Elongated shaft for pocketing, flexibility, and control; stiffer face for stability and power; Servo Filter for vibration dampening; 2G-NAMD Flex Force for optimal flex. For players wanting a light, spin-friendly player's racquet with impressive control and feel."
"RCYONEX-PERC1D","Percept 100D: slightly more powerful and forgiving than the Percept 97 with a tight 18x19 for wonderfully precise, predictable trajectory on full cuts; sub-320 swingweight for spin and quick net reactions. Elongated shaft for pocketing, flexibility, and control; stiffer face for stability and power; Servo Filter for dampening; 2G-NAMD Flex Force for optimal flex. For intermediate and advanced players wanting speed, precision, and feel."
"RCTWABG-PTC98","ATS Textreme Tour 98 Carbon: 98in² head for a tad more power than the Tour 95 with surgical targeting on full cuts; buttery 62-RA for arm-friendly feel with great feedback. Fast, spin-friendly, and accurate from the baseline. ATS with Textreme and Twaron in shaft and upper hoop for less frame torque and a more stable hitting experience. For intermediate and advanced players wanting easy targeting and great feel."
"RCTWABG-PTC290","ATS Textreme Tour 100 (290) Carbon: under 11oz for fast handling and on-the-run shots with quick net reactions; 16x18 pattern for spin potential. Arm-friendly beam stiffness; ATS with Textreme and Twaron for reduced frame torque and a more powerful, stable experience. For intermediate players wanting controllable power and great feel."
"RCTWABG-ATR98",""
"RCTWABG-ATR95","ATS Textreme Tour 95 2022: near-12oz speedy midsize with great spin capability and decent pop for a midsize player's racquet. More flexible beam for even better ball feedback and less shock to tendons; ATS with Textreme and Twaron for less frame torque and a more powerful, stable hitting experience. For experienced players wanting a user-friendly midsize with a seductive combination of speed, control, and feel."
"RCTWABG-ATR10P",""
"RCTWABG-ATR310","ATS Tour 100 (310) 2022: rewards aggressive play with precision for swinging big and loading the ball with pace and spin. More flexible beam for even better ball feedback and less shock to tendons; ATS with Textreme and Twaron for less frame torque and a more stable experience. Stable when redirecting higher pace; open 16x18 for easy spin; solid net feel with outstanding touch. Impressive out-of-the-box playability."
"RCTWABG-ATR290","ATS Textreme Tour 100 (290) 2022: under 11oz for fast handling and quick net reactions; one of the most arm-friendly racquets in its class; 16x18 pattern for spin potential. More flexible beam for better feedback and less shock; ATS with Textreme and Twaron for reduced frame torque and a more stable experience. For intermediate players wanting controllable power and great feel."
"RCTWABG-2RIP98","Ripstick 98: 98in² head with 16x18 pattern for spin-friendly precision and line-targeting; fairly hefty swingweight for impressive stability against big hitters and massive power on full cuts. Plush feel from large O-Ports that reduce wind drag and create a more comfortable string bed; updated ATS combining Textreme and Zylon to minimize frame wobble and power loss. For players wanting a precise, powerful racquet with a plush feel."
"RCTWABG-25RIPH","Ripstick 100 300g 2025: 11.2oz with open 16x18 pattern for easy spin and a higher launch angle; comfortable from large O-Ports reducing wind drag for a plush string bed and easier acceleration. Updated ATS with Textreme and Zylon to minimize frame wobble and power loss. For players wanting a powerful, spin-friendly racquet that doesn't skimp on comfort."
"RCTWABG-25RIPL","Ripstick 100 280g 2025: lighter and faster than the 300g for improving intermediates; speedy at net and from baseline; O-Ports for plush string bed and reduced wind drag. Updated ATS with Textreme and Zylon for stability on off-center contact. Arm-friendly comfort. For intermediate players wanting an easy path to power and spin."
"RCTWABG-PRIPXS","Ripcord 98 XS: smaller head than the Ripcord 100 300g for confident accuracy when the match tightens; more mass for stability against higher pace. Updated ATS combining Textreme and Zylon for stability; CTS Beam uses variable widths to balance feel and stability. For intermediate and advanced players wanting a powerful, spin-friendly precise weapon."
"RCTWABG-RPCDH","Ripcord 100 300g 2025: weighted for intermediates but tempting for advanced players seeking raw speed; aggressive baseliner's combination of power, spin, and accuracy. Speedy at net for reaction volleys with enough stability to redirect higher pace. Updated ATS with Textreme and Zylon for stability; great price."
"RCTWABG-RPCDM","Ripcord 100 280g 2025: ideal for rising intermediates; specializes in speed, spin, and power with a low swingweight for easy baseline whipping and on-the-run shots. Stiffened beam for more powerful and stable hitting; updated ATS with Textreme and Zylon for stability. For intermediates and value hunters wanting a speedy racquet with easy power and spin."
"RCTWABG-RPCDL","Ripcord 100 265g 2025: lightest Ripcord for dedicated beginners and early intermediates; speed, spin, and power at a phenomenal price. Stiffened beam for more powerful and stable hitting; updated ATS with Textreme and Zylon for stability. Great for improving players wanting an easy path to aggressive tennis."
"RCTWABG-PHNX5","Phantom 100X 305g 2024: 11.4oz with 320 swingweight and buttery 59-RA stiffness; open 16x18 for spin-friendly precision and confident targeting. ATS at 10 & 2 combining Textreme with Zylon for stability without compromising maneuverability; Zylon and Textreme in shaft for stability; CTS Beam for ultra-thin shaft feel with thicker head cross-sections for stability and power. For intermediate and advanced players wanting a speedy, spin-friendly racquet with outstanding feel."
"RCTWABG-PO310X","O3 Phantom 100X 2025: inspired by the original O3 Tour; open 16x18 pattern; thicker and stiffer beam for a power and stability boost while remaining control-oriented. O-Port system cuts wind drag for easier acceleration and delivers a distinctly comfortable response; CTS Beam for variable width stability and feel; updated ATS with Textreme and Zylon for stability. For players craving easy targeting and plush comfort."
"RCTWABG-PHNX2","Phantom 100X 18x20 3rd gen: 18x20 with 59-RA captures pinpoint accuracy and buttery feel of the best traditional player's racquets. 327 swingweight for a nice balance of speed and stability. ATS with Textreme and Zylon for stability; Zylon and Textreme in shaft for stability; CTS Beam for feel and power. For experienced players wanting precision and sublime traditional player's racquet feel."
"RCPRINCE-PHNP1","Phantom 100P 3rd gen: spin-friendly targeting with outstanding feel; sub-325 swingweight for slightly easier acceleration than predecessor. Thin box beam and flexible 59RA for decidedly arm-friendly comfort compared to most competitors. ATS at 10 & 2 combining Textreme and Zylon for stability; CTS Beam for feel and power. For intermediate and advanced players wanting a great-feeling racquet with exceptional precision."
"RCPRINCE-PHN7G","Phantom 107G 2nd gen: 107in² head plays like a faster, more user-friendly version of the Prince Original Graphite OS; speedy 320-RDC swingweight for easy baseline spin and quick net reactions. Buttery 17.5mm shaft for outstanding ball feedback; ATS with Textreme and Zylon for stability; CTS Beam for ultra-thin shaft feel and head power; iconic crossbar for stability. Surgical control and sublime feel in a very forgiving head size."
"RCTWABG-PHNX9","Phantom 100X 290g: sub-320 swingweight and open 16x18 pattern in a thin 18mm shaft for an intermediate-friendly weapon with buttery feel, explosive speed, and spin-friendly targeting. Impressive stability for the weight. ATS with Textreme and Zylon for stability without compromising maneuverability; CTS Beam for feel and power. Perfect entry point into the Phantom family for rising intermediates."
"RCPRINCE-P5WA30",""
"RCPRINCE-P5WA28","Warrior 100 (285g) 2025 (pre-strung): explosive feel and spin-friendly targeting from the baseline; quick handling at net; lower stiffness than most competitors for above-average comfort. For rising intermediate players wanting an easy path to pace and spin at a great price."
"RCPRINCE-P5WA27",""
"RCPRINCE-PWAR28","Warrior 100 (285g) (pre-strung): raw speed with above-average comfort for its class; CTS Beam for thinner shaft feel and thicker tip power and stability. Great all-around playability for intermediate players wanting speedy access to power and spin at an outstanding price."
