racquet_id,distilled_description
HGMPG,"Soft, buttery feel with controllable power and outstanding touch from a 22mm beam and 16x20 pattern. Teardrop head shape provides responsive contact near the tip. At 11oz with sub-325 swingweight, it suits intermediate to advanced players seeking easy baseline acceleration and user-friendly net play. Arm-friendly with improved softness for 2025."
HGMPXL,"Buttery feel with phenomenal control and rock-solid stability from a flexible 22mm beam and 16x20 pattern. Extended 27.5"" length generates extra power on groundstrokes and serves. Teardrop shape offers forgiving, powerful hitting near the tip. Suits experienced players wanting precision power with outstanding feel."
HGMLPG,"Light at 10.4oz with effortless speed and soft beam construction for arm-friendly comfort and controllable power. Teardrop head shape provides responsive contact at the tip. Head-light balance aids acceleration. Best for improving intermediate players seeking comfortable, controlled power."
HRTMPG,Forgiving 104in² head with soft beam and user-friendly feel for beginners and early intermediate players. Lighter and faster than previous generation for confident ball striking. Teardrop shape provides responsive contact near the tip. Offers controllable power with easy maneuverability.
HPRR,Plush feel with exceptional ball feedback from the thinnest beam in the Radical family. 98in² head with 16x19 tight-mains pattern delivers precision control. 330 swingweight provides plow-through stability and good pop on full swings. Suits experienced players craving controllable power with defensive stability.
HRMP,"Control-oriented 98in² head with 16x19 tight-mains pattern and variable beam (thin at shaft and tip for feel, thick at midsection for stability). Sub-325 swingweight offers speed for aggressive play while maintaining decent stability. Suits intermediate to advanced players seeking speedy control with decent power."
HRTOUR,Solid feel with impressive direction control and touch from 18-main string pattern. 325 swingweight balances speed and stability. Suits experienced players wanting accuracy and predictable control with good net feel.
HRRT,"Outstanding feel with speedy, maneuverable swingweight and arm-friendly flexible beam. 102in² head with 16x19 tight-mains pattern provides forgiving control and easy targeting. Fast at net with maneuverability. Suits rising intermediate players seeking speedy play with great feel."
RADELT,"Light at 10oz with forgiving head size for clean contact and confidence. 16x19 string pattern with tight center mains offers controlled, predictable response. Suits beginners, early intermediates, and juniors developing mechanics seeking controllable power."
HRPR,"Compact 98in² head with thinnest beam in Radical family delivers precise control and seductive feel. Over 11.5oz with enough mass to redirect pace and generate pop. 16x19 tight-mains Control Pattern provides predictable trajectory. Suits experienced players seeking precise, powerful hitting with solid feel."
HRTR,"Light and forgiving 102in² head with easy power and precision for rising intermediates. Flexible Auxetic yoke and Graphene 360+ create a softer, stable feel with tighter center strings for control. Fast and maneuverable with excellent targeting."
HGXTRPM,98in² player's racquet with excellent control and impressive pop from polarized Graphene XT weighting. Dynamic String Pattern delivers tight center control with forgiving edges. Fast at net with above-average stability for its weight; ideal for intermediate-to-advanced players seeking precision and directional control.
HGXTRS,"Light, explosive 102in² racquet with easy access to power and spin from optimized Graphene XT weighting. Excellent control via Dynamic String Pattern; lighter and faster than predecessor with impressive accuracy on full swings. Highly maneuverable at net and on service returns."
XCEEDR,Light racquet with fast swing speed delivering easy pace and spin for strong beginners and intermediates. INNEGRA technology increases stability and decreases vibration. Quick handling at net with all-around forgiving performance at an exceptional price.
HREP24,"Surgical 98in² head combining power, spin and precision for aggressive players. Auxetic 2 and Graphene 360+ optimize feel and stability; Spin Grommets and Spin Shaft enhance topspin mechanics and snapback for greater command over heavy hitting."
HREM24,"Spin-focused racquet at 11.2 ounces delivering explosive speed, spin and easy power for intermediate-to-advanced aggressive players. Auxetic 2 and Graphene 360+ optimize feel and stability; Spin Grommets and Spin Shaft enhance snapback and topspin mechanics for quick baseline acceleration and net handling."
HEMPL24,"Lighter, faster version of Extreme MP with easy spin and power for early intermediates playing aggressive tennis. Auxetic 2 and Graphene 360+ optimize feel and stability; Spin Grommets and Spin Shaft enhance snapback and topspin control with user-friendly handling."
HRET24,Ultra-light and forgiving 105in² head delivering easy power and spin for dedicated beginners and early intermediates. Auxetic 2 and Graphene 360+ optimize feel and stability; Spin Grommets and Spin Shaft enhance snapback and topspin mechanics with high comfort on off-center hits.
HRELT,Very light and fast package combining easy spin and power for rising aggressive players. Auxetic 2 and Graphene Inside optimize feel and response; Spin Grommets and Spin Shaft enhance snapback and topspin mechanics with user-friendly handling.
360XM,"Player's racquet with solid, crisp feel at impact from slightly higher RA stiffness. Graphene 360+ with SpiralFibers delivers cleaner feel; Spin Shaft and 360 Spin Grommets enable heavy topspin and snapback. Arm-friendly despite increased stiffness; fast with excellent pop and spin for aggressive intermediates-to-advanced players."
HPRMP,"Precise player's racquet with solid feel at impact; 99 sq in head feels stable despite under 12 oz weight. Softer, more flexible construction (lowered RA stiffness) delivers excellent ball feedback. Suits intermediate to advanced players seeking pinpoint accuracy and control without traditional bulk."
PRPROR,"Surgical control with plush, buttery feel from 18x20 string pattern and thin 20mm beam. Slightly more flexible construction than prior generations while offering greater speed for court coverage. Ideal for experienced players wanting predictable targeting and traditional player's racquet benefits."
THPRTR,Compact 95 sq in head with surgical control and buttery feedback; softened beam (62 RA) adds modern spin through 16x19 pattern. Heavy swingweight (330) redirects pace and powers through court. Best for experienced players blending classic Prestige feel with spin potential.
HPRMPL,"Lightest Prestige member (11.2 oz) prioritizes maneuverability and speed with whippy sub-315 swingweight and 16x19 pattern. Maintains outstanding control and feel of Prestige family while offering faster, spin-friendly response. Suits intermediate players seeking user-friendly experience or advanced players wanting customization platform."
HINSPW,"Forgiving 110 sq in head delivers easy power with arm-friendly comfort and crisp, connected feel from Auxetic technology. Maneuverable with quick handling at net; extended 27.4"" length boosts serve power. Designed for beginners and early intermediate players, also appealing to doubles players."
TIS6,"Ultra-light racquet offers excellent power and access to spin with large, forgiving head. Impressive stability keeps racquet comfortable in hands. Suits players with slower swings, compact strokes seeking depth, and doubles players valuing maneuverability and power."
HSQUR,"Extremely headlight racquet glides effortlessly through impact with low swingweight for confidence on aggressive strokes. Soft, arm-friendly 60RA response without wobble; 16x18 pattern delivers high launch angle and spin potential. Ultra-quick at net with impressive stability; ideal for beginners and players seeking maximum maneuverability and ease of use."
HPWR10,"Easy power with arm-friendly comfort from 110 sq in head and extended 27.4"" length. Despite extended length, moves fast for defensive scrambling and quick net reactions. Connected, responsive feel through Auxetic 2.0; suits beginners and doubles players prioritizing comfort and power."
HPWR15,"Ultra-forgiving 115 sq in head with extended 27.7"" length generates huge serve power. Fast and maneuverable despite size, making it formidable serve-and-volley weapon. Connected, responsive feel from Auxetic 2.0; ideal for beginners and seniors seeking comfort, power, and confidence."
YMUS8,"Compact 98 sq in head delivers mindless accuracy with plush, soft response from flexible frame. Light, fast, and very maneuverable yet surprisingly stable; 16x18 pattern provides easy spin access for angled shots. Suits athletic beginners and intermediate players wanting speed, feel, and precision."
YMUS10,"Plush and flexible frame delivers soft, forgiving feel with impressive speed and easy targeting. Offers spin potential via 16x18 string pattern and light swing weight, ideal for intermediate players seeking comfort without wobble on off-center hits. Control-oriented with user-friendly acceleration from baseline and net."
YMU10L,"Ultra-light at under 10.5 ounces with 303 swingweight for remarkable maneuverability and ease of swing. Arm-friendly with 57-RA stiffness and plush comfort, featuring 16x18 spin-friendly string pattern. Quick handling at net makes it perfect for dedicated beginners and rising intermediate players."
YMU1SL,"Lightest Muse family member at under 10 ounces with ultra-flexible beam for impressive control and arm-friendly comfort. Ultra-maneuverable with easy acceleration and 16x18 spin-friendly string pattern, gliding through contact with remarkable ease. Quick handling at net suits beginners and early intermediates."
YMU107,"Powerful and forgiving 107 sq in head delivers generous margin of error with comfortable, high performance. Buttery 56 stiffness provides control with arm-friendly feel, while light weight at under 10.5 ounces enables quick repositioning at net and easy acceleration for spin loading."
VC988G,"Plush and lively feel with fast movement through court, combining precision targeting with impressive spin potential via open string pattern. Servo Filter and Vibration Dampening Mesh absorb harsh vibrations for comfortable contact. Suits intermediate and advanced players seeking spin-friendly weapon with predictable, controlled response."
VC108G,Plush and powerful with mid-320s swingweight for stable ride while maintaining all-court speed. Spin-friendly via modified Isometric head shape with wider contact zone for easier power and higher launch angle. Servo Filter and Vibration Dampening Mesh enhance comfort; suits intermediate and advanced players.
VC1L8G,"Speedy sub-315 swingweight glides through impact with plush comfort and spin-friendly targeting, ideal for quick net play and hitting on the run. Larger spin window via modified Isometric head shape with easier access to power. Servo Filter and Vibration Dampening Mesh provide comfort; suits rising intermediate players."
VC1D8G,"Precise and controlled response via 16x20 string pattern, maximizing stroke speed for pace and spin loading. More forgiving than conventional shapes via Isometric head shape, with plush feel from Servo Filter and Vibration Dampening Mesh. Suits those who prefer driving through court with signature comfort."
VC958G,"Plush and forgiving midsize player's racquet with sub-64 RA arm-friendly stiffness and outstanding ball feedback. 16x20 string pattern delivers impressive accuracy with spin potential; Isometric head shape enhances forgiveness. Servo Filter and Vibration Dampening Mesh absorb vibrations for comfortable, controlled response."
VC9P8G,"Powerful and precise 27.5"" extended length with 98 sq in head delivers heavier baseline balls and impressive serve pop. Beefier swingweight provides stability against big hitters; sub-64 RA stiffness and Isometric head shape create plush, arm-friendly feel. Servo Filter and Vibration Dampening Mesh enhance comfort for aggressive players."
VC1P8G,"Extended-length powerhouse (27.5"") for experienced players seeking maximum power and spin on groundstrokes and serves. Offers impressive stability and plow-through despite harder swing, with plush and forgiving feel from expanded ISOMETRIC head shape. Features vibration dampening for comfort."
VC9T8G,"Heavy, spin-friendly player's racquet for experienced ball strikers who can leverage its mass. Delivers dangerous pace and spin on groundstrokes with rock-solid, plush feel at net. Excellent plow-through and stability when absorbing pace from big hitters."
YVC95,"Fast, compact midsize player's racquet with impressive accuracy and surgical precision. Feels remarkably solid despite speedy swingweight, with expanded spin window and juicy power. Lower beam stiffness provides good ball feedback."
EZ10BB,"Fast, plush player's racquet combining controllable power with easy spin access. Forgiving head size with quick handling and excellent maneuverability at net. ISOMETRIC head shape delivers responsive, plush feel; suits intermediate to advanced players."
EZ98BB,"Plush, precise racquet with exceptional comfort and buttery feel from low stiffness. Control-oriented with spin-friendly design and remarkable speed for its class. Forgiving response makes shot placement mindlessly easy for intermediate to advanced players."
TEZ98B,"Stable, powerful package combining surgical targeting with impressive pop on full cuts. Buttery feel with good plow-through for absorbing pace from big hitters. Suited for experienced players seeking high-level precision and pop."
LEZ10B,"Extended-length powerhouse (27.5"") delivering huge power and heavy balls from baseline and serves. Spin-friendly with easy target selection and plush, solid feel at impact. Advanced players get exceptional plow-through and power."
LEZ98B,"Extended-length (27.5"") player's racquet combining 98in² head accuracy with extra leverage and pop. Buttery 62-RA stiffness delivers heavy baseline balls and serve power without off-center wobble. Advanced players get plush feel with plow-through and precision."
EZ1LBB,"Light, fast EZONE 100 package for intermediate players and competitive juniors. Plush comfort with easy targeting and lightning-fast speed through contact. Rewards continued improvement with accessible spin and power."
EZ1SLB,Ultra-light racquet for beginners and developing players seeking easy ball addressing and quick shot placement at net. Delivers adequate pop with good spin potential and plush feel. Raw speed aids learning of pace and spin mechanics.
EZ105B,"Forgiving 105 sq in head with plush, responsive feel from ISOMETRIC shape and Minolon damping. Offers controllable power and maneuverable design, suited for beginners, intermediate players, and doubles specialists. Arm-friendly comfort combined with good stability from thickened upper hoop geometry."
EZ115B,"Ultra-comfortable 115 sq in head with powerful feel, extended 27.5"" length for easy serve and groundstroke power. Plush, responsive ISOMETRIC shape with 16x18 string pattern for spin control. Ultra arm-friendly option for beginners and doubles players seeking generous margin for error."
EZ110B,"Easy power and arm-friendly comfort in a 110 sq in head with extended 27.5"" length. Plush, responsive feel from ISOMETRIC shape combined with stable geometry. Suited for beginner and intermediate players, plus doubles specialists wanting powerful serves and net play."
EZACBB,"Maneuverable, stable racquet with impressive comfort and easy shot-making for improving players. Plush, responsive feel from ISOMETRIC head shape at exceptional value."
EZAPR,"Light, user-friendly racquet with plush, responsive ISOMETRIC head and soft feel from Minolon technology. Open string pattern for easy spin access with stable, powerful beam construction. Designed for rising intermediate players seeking confidence and ease of use."
EZAPLR,"Ultra-light sub-10 oz racquet under 10 ounces prioritizing maneuverability and ease of use. Plush, responsive ISOMETRIC head with soft feel from Minolon and open string pattern for spin. Perfect for novice players and weekend warriors mastering fundamentals."
EZASLB,"Most maneuverable EZONE at 9 oz with plush, responsive ISOMETRIC head for ease of use. Soft feel from Minolon with open string pattern for spin and stable, powerful beam. Ideal for juniors and beginners seeking high performance at excellent value."
PERM97,Light player's racquet (sub-320 swingweight) with buttery flex point and surgical 97 sq in control. Spin-friendly with quick net reactions and great feel from 2G-NAMD Flex Force and Servo Filter damping. Suits intermediate players wanting easy spin targeting and confident control.
PERM9D,"Control-oriented 97 sq in head with 18x20 string pattern and 21mm flexible beam for phenomenal ball feedback. Headlight balance enables fast racquet despite 12 oz weight, offering excellent accuracy for intermediate and advanced players prioritizing precision."
PERM1D,"Sub-320 swingweight with tight 18x19 string pattern for precise, predictable trajectory and control. Quick spin capability from backcourt and fast net reactions. Suits intermediate players and advanced players seeking control-oriented feel with good maneuverability."
PTR698,"Plush, spin-friendly 98"" racquet with a 16x19 pattern for precise control and ball pocketing. Mid-320s swingweight balances aggressive power with stability. Intermediate and advanced players seeking controllable power and comfort will appreciate the improved frame stability and energy return."
PTR61P,Dense 18x20 string pattern delivers laser-like precision and control through the court with a 325 swingweight for stability without sluggishness. 61-RA stiffness provides arm-friendly comfort and outstanding ball feedback. Ideal for intermediate and advanced players who prioritize plush feel and surgical targeting with quick handling.
PTR631,"Comfortable, spin-friendly racquet with a 16x18 string pattern and sub-325 swingweight for speedy all-court play. Solid and plush feel at impact with impressive stability for its weight class. Intermediate and advanced players get a fast player's racquet without sacrificing spin or comfort."
PTR629,"Lightest Tour member at 290g with impressive speed and arm-friendly comfort, featuring a spin-friendly 16x18 string pattern. Sub 64-RA stiffness and above-average stability for its weight class provide solid, arm-friendly performance. Intermediate players seeking a speedy racquet with controllable power and great feel have an ideal entry point."
PTC98,"Fast, spin-friendly 98"" racquet offering controllable power with surgical targeting on full cuts. Buttery 62-RA stiffness delivers arm-friendly comfort and great feedback, while the Anti-Torque System reduces frame torque for stability. Intermediate and advanced players appreciate the easy targeting and excellent feel."
PTC290,"Lightweight at under 11 ounces with spin-friendly 16x18 string pattern for fast reaction and quick net play. Arm-friendly beam stiffness combined with Anti-Torque System technology provides stable, powerful performance and controllable power. Intermediate players seeking great feel and maneuverability will love this responsive frame."
ATR98,"Fast, spin-friendly 98"" racquet erring on the side of control with enough pop to move the ball through the court. Buttery 62-RA stiffness delivers arm-friendly comfort and excellent feedback, while Anti-Torque System technology provides stability through impact. Intermediate and advanced players seeking easy targeting and great feel will appreciate this balanced performer."
ATR10P,"Dense string pattern delivers laser-like precision and control with user-friendly speed and outstanding feel. More flexible beam provides better ball feedback and less shock to tendons, while Anti-Torque System enhances stability. Sub-325 swingweight enables easy spin generation, with solid baseline control and effective volleying touch."
ATR310,Controllable power with easy spin from a 16x18 open pattern and excellent baseline stability when handling pace. More flexible beam improves ball feedback and arm-friendliness while Anti-Torque System reduces frame torque for stability. Rewards aggressive players with precision swinging ability and solid net touch.
ATR290,"Arm-friendly at under 11 ounces with spin-friendly 16x18 string pattern for fast movement and quick net reactions. More flexible beam provides better ball feedback and less tendon shock, while Anti-Torque System enhances stability through impact. Intermediate players get controllable power and great feel in a speedy, responsive frame."
2RIP98,"98in² head with 16x18 string pattern delivers excellent spin and power with plush feel from large O-Ports. Hefty swingweight provides stability against pace and massive power on full swings. Updated Anti-Torque System minimizes frame wobble for consistent off-center performance. Ideal for players seeking precise, powerful hitting with comfortable contact."
25RIPH,"Lightweight at 11.2 ounces with 16x18 string pattern for easy spin and higher launch angle. Extra large O-Ports deliver plush, powerful string bed response with reduced wind drag for acceleration. Updated Anti-Torque System enhances stability on off-center hits. Suits players wanting powerful, spin-friendly modern racquet without sacrificing comfort."
25RIPL,"Lighter and faster than the 300g version, this 280g racquet delivers plush, powerful response with remarkable maneuverability at net. Extra large O-Ports create plush string bed and reduced wind drag. Updated Anti-Torque System minimizes frame wobble. Arm-friendly and designed for rising intermediate players seeking easy access to power and spin."
PRIPXS,"Smaller 98in² head with higher mass for accuracy and stability against pace, delivering heavy, spin-loaded balls. CTS Beam balances feel and stability across variable widths. Updated Anti-Torque System minimizes frame wobble and power loss. Built for intermediate and advanced players wanting a powerful, spin-friendly weapon with confident control."
RPCDH,"Speedy racquet with irresistible combination of power, spin, and accuracy for aggressive baselines. Fast feel excels on reaction volleys while maintaining stability against higher pace. Updated Anti-Torque System enhances stability on off-center impact. Suited for intermediate to advanced players seeking user-friendly path to power and spin."
RPCDM,"Low swingweight specializes in speed, spin, and power with easy whipping action for topspin and on-the-run shots. Stiffened beam for 2025 delivers more powerful and stable hitting experience. Updated Anti-Torque System enhances stability on off-center impact. Ideal for rising intermediate players seeking speedy racquet with easy access to spin and power."
RPCDL,"Lightest model in the family specializing in speed, spin, and power at an exceptional price point. Stiffened beam for 2025 delivers more powerful and stable hitting experience. Updated Anti-Torque System enhances stability on off-center impact. Perfect for dedicated beginners and early intermediate players seeking easier path to aggressive tennis."
PHNX5,"Defined by controllable power and buttery 59-RA feel with 320 swingweight for stability. Open 16x18 string pattern provides spin-friendly precision for line targeting. CTS Beam offers ultra-thin shaft for feel with thicker head sections for stability and power. Excellent for intermediate and advanced players wanting speedy, spin-friendly racquet with outstanding feel."
PO310X,"Open 16x18 string pattern with thicker, stiffer beam for boosted power and stability while maintaining control-oriented DNA. O-Port system delivers comfortable response while reducing wind drag for acceleration. CTS Beam optimizes stability and feel; updated Anti-Torque System minimizes wobble. Ideal for players seeking easy targeting and plush comfort with all-court speed."
PHNX2,"18x20 string pattern with 59-RA stiffness delivers pinpoint accuracy and buttery feel of traditional player's racquets. 327 swingweight balances speed and stability, providing steady feel against pace without sluggishness at net. CTS Beam features ultra-thin shaft for feel with thicker head sections for stability and power. Designed for experienced players seeking undeniable precision and sublime feel."
PHNP1,"Moderate power with exceptional spin and control. Thin, flexible frame (59RA) delivers crisp, arm-friendly feel at contact. Sub-325 swingweight enables quick acceleration on groundstrokes and fast net reactions. Best for intermediate to advanced players seeking precision with vibrant responsiveness."
PHN7G,High power and spin in a forgiving oversized head. Buttery 17.5mm shaft provides outstanding ball feedback. Fast 320 RDC swingweight explodes through contact for quick net reactions and easy backcourt spin. Suits intermediate to advanced players who want surgical control in a user-friendly package.
PHNX9,Explosive speed and spin with buttery control. Thin 18mm shaft and sub-320 swingweight deliver quick handling and surgical precision. Open 16x18 pattern pairs with impressive stability for its weight. Perfect for rising intermediate players seeking classic player's racquet feel with modern pace.
P5WA30,Easy power and spin with quick handling. Softer beam construction delivers arm-friendly response while maintaining connected feel for control. Fast through contact with open string pattern. Suits intermediate players and faster-swinging advanced players seeking aggressive baseline play and reactive net game.
P5WA28,Easy power and spin for rising intermediates. Lower stiffness provides above-average comfort and explosive feel. Spin-friendly targeting with quick handling at net. Designed for intermediate players learning to develop pace and spin mechanics.
P5WA27,"Easy power with plush comfort at light weight (275g). Feels wonderfully solid at impact with remarkable ease through contact. Open string pattern aids spin on groundstrokes and serves. Forgiving oversize head with quick handling suits beginners, early intermediates, and arm-conscious players."
PWAR10,"Fast, lively, and accurate with easy power and spin. Sub-65RA stiffness delivers arm-friendly response and superior ball feedback. Quick on net reactions with above-average stability for weight class. Intermediate-weighted but versatile for beginners through advanced players seeking value."
PWAR28,Speedy with easy power and spin. Above-average comfort for class. CTS Beam provides thin shaft for feel with thicker head sections for power and stability. Intermediate-friendly all-around playability at exceptional value.
PWAR17,"Comfortably crisp feel with easy acceleration. Lightweight at 10.2 oz with stable, powerful response and good control. Open string pattern enables plenty of spin. Forgiving oversize head with quick net handling suits beginners, intermediates, and recreational players."
PLEG5,"Easy power and spin with luxurious comfort. Slightly extended length (27.25"") adds momentum and pop. Plush, low-vibration hitting experience via O3 Port System grommetless construction. Suits intermediate players in singles and doubles seeking comfort with solid spin potential."
PLEG2,"Ultra-large 120 sq in head delivers maximum power with a huge margin of error, ideal for beginners and seniors. Features plush, low-vibration feel via O3 Port System grommetless construction combined with AntiTorque stabilization, maintaining comfort even on mishits. Extended length adds momentum on groundies and serves."
P3LY11,"Oversize 110 sq in head with plush, powerful feel and impressive power on full swings. Open 16x19 string pattern provides good spin potential; stable and forgiving at net with impressive serving power. Ultra arm-friendly with low vibrations from O3 Technology and AntiTorque System; suits beginners, doubles specialists, and singles players."
PREM10,"Large 110 sq in head delivers easy power and high comfort with forgiving contact zone, ideal for beginners and recreational players. Open 16x18 string pattern enables effective spin and depth; stable feel at net with confident volleying. Great value option with easy learning curve."
PREM05,"Light 105 sq in head at 10.2 ounces offers forgiving, controllable power with easy spin access. Moves into position with ease and enables faster swings when needed; excellent at net with easy volleying. Arm-friendly and suits beginners, intermediate, and doubles players seeking light-racquet control."
TFFI35,"Smallest Fire head size combines easy power with surgical accuracy for big swings and target hitting. Extra mass provides stability and plow-through against hard hitters. X-Damp and IsoFlex systems filter vibrations and reduce shock on off-center hits. Built for experienced players wanting powerful, precise spin access."
TFFI30,"Speedy spin machine at 11.2 ounces with sub-320 swingweight and open 16x19 pattern for heavy spin loading. Delivers comfortably crisp response with X-Damp and IsoFlex dampening for softer, more uniform feel. Suits intermediates and advanced players seeking aggressive speed, spin, and power."
TFFI28,"Light 10.6-ounce weapon with sub-315 swingweight glides through impact effortlessly, ideal for positioning under pressure and whipping spin. Fast at net and delivers softer feel via X-Damp and IsoFlex systems. Perfect for intermediate players wanting speedy maneuverability without sacrificing power or spin."
TFFI70,"At 10 ounces, this speedy beginner-intermediate stick comes around faster with easy spin via open 16x19 pattern and whippy acceleration. Stiff, powerful beam construction delivers lively, solid feel across string bed. X-Damp and IsoFlex systems provide softer comfort; ideal for improving players mastering aggressive tennis mechanics."
TFFI26,"Ultra-maneuverable 110 sq in head under 10 ounces with sub-300 swingweight and forgiving response perfect for beginners and early intermediates. Easy power and depth on baseline; X-Damp and IsoFlex dampening provide softer, comfortable feel. Excellent serve-and-volley weapon for doubles specialists."
TF3IGS,"Fast 98 sq in player's racquet with 16x19 pattern enables easy spin generation and quick net reactions. Updated 2025 model features thickened, stiffened RS Beam for power boost while maintaining surgical targeting. Wonderfully solid and plush feel via strategically placed foam; suits intermediate and advanced players seeking speedy precision with improved power."
TF30IG,Intermediate to advanced racquet with whippy acceleration and spin from the 16x19 string pattern. Delivers controllable power through the thickened RSL Beam while maintaining crisp feel and above-average comfort; quick handling and ISOFLEX System provide uniform response across the string bed.
TF305S,"Fast, head-light 98in² control racquet with 18x19 pattern for spin-friendly acceleration and quick net handling. Plush, solid feel at impact from foam construction; reinforced RS Section Beam boosts power while ISOFLEX System reduces off-center shock loss. Suits intermediate to advanced players seeking speed and targeting precision."
TF300S,"Fast player's racquet combining surgical targeting from 98in² head with 16x19 spin-friendly pattern. Thickened RS Beam provides power boost; plush, solid feel at impact with foam; ISOFLEX System ensures uniform string bed response. Designed for intermediate to advanced players wanting speedy control with great feel."
TF315S,"Heaviest TFIGHT model with head-light balance maintaining speed and agility; 16x19 string pattern for spin and 98in² head for accuracy. Softer, plush feel at impact from foam and reinforced RS Section Beam for power. Suits experienced players seeking controllable power with great feel."
TF30ST,"Intermediate-friendly racquet with slightly larger head than 300S, whippy acceleration, and spin potential from 16x19 pattern. Above-average comfort from foam; thickened RSL Beam adds power while maintaining control; quick handling at net. Blends control, spin, and power for intermediate to advanced players."
TF285S,Ultra-maneuverable intermediate racquet with buttery 63-RA stiffness for arm-friendly ride and great feedback. 16x19 pattern enables spin and depth; thickened RSL Beam boosts power without sacrificing control. Packed with foam for above-average comfort while helping less advanced players generate effective pace and spin.
TF270S,Very user-friendly racquet for improving players with light weight enabling quick baseline spin and net reactions. Enlarged RSL Beam provides power boost while maintaining control; foam packing delivers above-average comfort and stability. Straightforward control-oriented feel designed for developing sound stroke mechanics.
ISO305,Precision 98in² control racquet with tight 18x19 pattern for excellent depth and trajectory command. Arm-friendly flex point; stable against high pace while delivering solid feel at impact from foam. RS Section Beam balances control and power; ISOFLEX System creates consistent string bed feel. Suits experienced players wanting stability and precision.
TF40R5,"Fast 98in² surgical racquet with sub-65 RA stiffness for excellent pocketing and feedback; 16x19 spin-friendly pattern. Heavy frame (330g+) provides stability against pace while remaining fast for spin and net play; 5-sided RS Sharp Beam enhances control; dampened, solid feel from foam and Dynacore XTC. For experienced players combining classic control with modern speed."
TF40R1,"Second generation 98in² control racquet with 16x19 spin-friendly pattern offering accurate groundstrokes and touch at net. Impressive pocketing and great feel; 5-sided RS Sharp Beam enhances stability and control; dampened, solid impact feel from foam and Dynacore XTC. Intermediate to advanced all-court weapon with controllable power."
TF40R2,"A control-oriented player's racquet with a dense 18x20 string pattern delivering laser-like precision and excellent ball feedback. Features a 305g weight with dampened, solid feel at impact thanks to Foam technology, plus a 5-sided RS Sharp Beam for stability. Best for experienced players prioritizing control, feel, and the ability to redirect pace and target the lines."
TF40R9,"A lighter (290g) entry into the TF40 family with plush feel and outstanding control in a spin-friendly 16x19 string pattern. Fast and maneuverable with dampened, solid feel from Foam technology and RS Sharp Beam stability. Ideal for intermediate players seeking easy targeting, plush comfort, and the ability to whip up spin and react quickly at net."
TFX135,"An aggressive, heavy-hitting player's racquet (305g, 330+ swingweight) delivering easy access to power and spin with 98in² precision. Feels solid and powerful at impact with a stable 24.5mm beam, enhanced by X-Damp vibration filtering for comfort. Built for advanced players who can leverage its mass to hit powerful, spin-loaded shots and absorb big pace."
ACSPD3,"Combines easy power with heavy spin in a stable mid-320s swingweight frame featuring a firm, powerful beam and spin-friendly string pattern. The ball drops hard and explodes off the court. Technologies like Booster Grommet system, Enerzy beam, and Dual Spring layup maximize dwell time and energy return. Suited for intermediate and advanced players seeking a powerful racquet with spin-targeting capability."
ACSPD2,"A fast, lightweight (285g) racquet delivering easy power and spin-friendly targeting with quick acceleration on groundstrokes and net play. Feels impressively solid for its weight despite manageable swingweight, combining thick beam construction with Booster Grommet, Enerzy beam, and Dual Spring technologies for power. Perfect for intermediate players wanting to turn up the heat with aggression and pace."
ACSTR3,"Delivers controllable power with great feel in a 98in² head, combining a flexible beam with mid-320s swingweight for accuracy and stability. The 16x19 string pattern provides spin-potential while Enerzy beam and Dual Spring layup boost power. Ideal for intermediate and advanced players seeking precise targeting, all-court speed, and a controllable power package."
ACSTR2,"A speedy, lightweight intermediate racquet with sub-320 swingweight offering impressive stability, plush comfort, and easy targeting through whippy acceleration and open 16x19 string pattern. Nanoalloy grommets absorb vibration for a smoother feel while Enerzy beam and Dual Spring technologies boost power. Perfect for rising intermediates seeking speed, feel, and easy spin access."
DF50T,"A powerful, precise player's racquet with the thinnest beam and smallest headsize in the FX family, delivering high accuracy with around 320 swingweight for explosive baseline acceleration and quick net handling. New Power Boost+ geometry and Power Wave Grommets enhance power and even stringbed feel. Comfort features include Sonic Core and anti-vibration compounds. Suits players seeking speed, power, precision, and feel."
DF500,"A speedy, powerful modern player's racquet with sub-325 swingweight that delivers power and spin in a slightly more forgiving head than the Tour model. New Power Boost+ frame geometry and Power Wave Grommets enhance power, stability, and stringbed consistency. Sonic Core and anti-vibration compounds add comfort. Appeals to intermediate and advanced players seeking aggressive, fast tennis with good precision."
DF50LS,"A lightweight, low-swingweight racquet combining explosive baseline acceleration with quick net handling and easy power and heavy spin. Powerful beam construction and spin-friendly string pattern load the ball with pace. New Power Boost+ geometry and Power Wave Grommets improve feel and responsiveness with added Sonic Core comfort. Ideal for intermediate players seeking aggressive tennis with easy spin access and speed."
DF50LI,"Easy-to-use power and spin racquet with fast, maneuverable frame ideal for improving players and beginners. Delivers stable, even power across the stringbed with plush comfort through Sonic Core technology and anti-vibration dampening in the grip and head."
DF50SL,Ultra-light racquet designed for beginners and juniors to master stroke mechanics with excellent speed and spin access. Quick-handling and forgiving with arm-friendly comfort features including Sonic Core w/Infinergy and anti-vibration compound in grip and head.
FX5LR,"Fast, lightweight racquet for improving players seeking easy spin and quick court coverage. Softer, more flexible beam provides a plush feel at impact with excellent maneuverability for on-the-run shots and net play."
