,racquet_id,racquet_description
75,RCWILSON-CL1L3V,"Introducing The Clash 100L V3 ! Like the previous version, this update gives dedicated beginners and early intermediate players the perfect entry point into the unique comfort and easy power of the Clash family . As the softest member of its class, the Clash 100L V3 is an obvious choice for those who want an arm-friendly hitting experience. In fact, Wilson has made this version even softer than the previous generation (version 2), recapturing the magical feel of the original version. It's also remarkably fast, making it easier for less advanced players to generate pace and spin. For 2025, in addition to tightening spec tolerances, Wilson refines the proprietary layup technology that gives the Clash such a uniquely comfortable and responsive feel. It's called SI3D , and it maximizes horizontal bending and vertical bending (for added dwell time, comfort, and spin) while maintaining torsional rigidity to reduce wobbling and power loss on off-center impact. Wilson also makes minor updates to the geometry of the shaft and yoke to optimize performance. Ultimately, this update continues to offer an ultra-easy learning curve for improving players . The fact that this model brings back the outstanding feel of the original version is a nice bonus."
76,RCWILSON-WC1L3R,"Wilson adds an awesome red cosmetic to the Clash 100L v3 Introducing the Clash 100L V3 Reverse ! This racquet offers the same specs and playability as the standard version but comes dressed in a beautiful red cosmetic. Ideal for dedicated beginners and early intermediate players, the Clash 100L V3 Reverse marks the perfect entry point into the unique comfort and easy power of the Clash family . As the softest member of its class, the Clash 100L V3 is an obvious choice for those who want an arm-friendly hitting experience. In fact, Wilson has made this version even softer than the previous generation (version 2), recapturing the magical feel of the original version. It's also remarkably fast, making it easier for less advanced players to generate pace and spin. For 2025, in addition to tightening spec tolerances, Wilson refines the proprietary layup technology that gives the Clash such a uniquely comfortable and responsive feel. It's called SI3D , and it maximizes horizontal bending and vertical bending (for added dwell time, comfort, and spin) while maintaining torsional rigidity to reduce wobbling and power loss on off-center impact. Wilson also makes minor updates to the geometry of the shaft and yoke to optimize performance. Ultimately, this update continues to offer an ultra-easy learning curve for improving players . The fact that this model brings back the outstanding feel of the original version is a nice bonus."
77,RCWILSON-CL183V,Wilson adds another chapter to the most forgiving and powerful Clash
78,RCWILSON-WC98P,Precise targeting meets plush feel
79,RCWILSON-WC100V,"Raw speed meets easy targeting and plush Comfort For 2022 Wilson keeps the revolutionary technology of the original version while also beefing up the stability in the upper regions of the string bed. Like the previous generation, the Clash 100 v2 combines explosive speed with spin-friendly targeting and enough power to close out points. Weighted for intermediate players, this 11 ounce racquet makes it easy to scramble on defense and hit groundstrokes on the run. The quick handling is also an asset at net where the Clash 100 plays great on reaction volleys. As with the first generation of Clash rackets, the 100 v2 is defined by Wilson's innovative frame technology, originally called FreeFlex. Renamed FORTYFIVE for 2022, this patented frame technology enables the racket to bend (and soften impact) across a wider geometry of stoke paths, including the vertical mechanics of the modern game. Ultimately, with a slightly enlarged sweetspot, the Clash 100 is an obvious option for players who want a light player's racquet with an arm-friendly feel."
80,RCWILSON-WC100P,Wilson brings extra comfort to the explosive mechanics of the modern game
81,RCWILSON-WC108V,"Wilson puts its revolutionary frame technology into a larger, more forgiving head size"
82,RCWILSON-WPS97C,"Updated with a classic Pro Staff cosmetic, this racquet delivers the legendary feel and playability that has attracted generations of players Introducing the Pro Staff 97 Classic! Featuring the same specs and playability as the Pro Staff 97 v14, this racquet's cosmetic pays homage to one of the game's most legendary racquet families. With its 97-square-inch head and 325 swingweight, this stick combines surgical precision with a nice balance between speed and stability. Featuring the same aramid fibers that gave the Original Pro Staff 85 such outstanding feel, the Pro Staff 97 Classic is comfortably dampened without compromising your connection to the ball. According to Wilson, this racquet brings back that classic Pro Staff feel with Paradigm Bending , a layup technology that optimizes the flex between hoop and shaft. This racquet also has FORTYFIVE technology, which strategically aligns the graphite fibers at a 45 degree angle to increase lateral bending through impact. The payoff is increased dwell time and pocketing for greater command over the ball. Ultimately, this racquet combines pinpoint precision with impressive stability and plow-through. Experienced players looking for a modern Pro Staff that doesn't forget its roots will love this one. The classic Pro Staff cosmetic is a very nice bonus!"
83,RCWILSON-WPSTMC,"Updated with a classic Pro Staff cosmetic, this racquet delivers controllable power and great feel to the rising intermediate player."
84,RCWILSON-WPS97L,"Updated with a classic Pro Staff cosmetic, this racquet provides the perfect entry point into the legendary feel and performance of the Pro Staff family Introducing the Pro Staff 97L Clkassic ! Featuring the same specs and playability as the Pro Staff 97L v14, this update sports a classic Pro Staff cosmetic. As with the 97L v14, this sub-11-ounce racquet brings the legendary Pro Staff formula to the rising intermediate player. With its zippy sub 315 swingweight, the 97L will not only help you swing faster when loading the ball with pace and spin, but it will also help you hit shots on the run and react quicker at net. According to Wilson, this update brings back that classic Pro Staff feel with Paradigm Bending , a layup technology that pairs a flexible shaft (for feel) with a stiffer perimeter around the head (for stability and power). This racquet also has FORTYFIVE technology, which strategically aligns the graphite fibers at a 45 degree angle to increase lateral bending through impact. The payoff is increased dwell time and pocketing for greater command over the ball. Like the previous generation, this racquet also has String Mapping , which combines denser spacing in the center for control with wider spacing at the margins for greater comfort outside the sweetspot. Ultimately, by putting Pro Staff precision into a lighter package, this stick continues to be an obvious option for improving intermediate players looking to rise to the next level. The classic Pro Staff cosmetic is a nice bonus."
85,RCWILSON-W97V14,"Packed with precision, pop and plow-through, this update combines Wilson's revolutionary bending technology with a classic Pro Staff feel Updated with Wilson's revolutionary layup technology, the Pro Staff 97 v14 continues to evolve without forgetting its roots. With its 97 square inch head and beefy 330+ swingweight, this stick combines surgical precision with enough mass to effectively redirect the pace of a big hitting opponent. It also delivers impressive pop to those who can leverage its mass. Featuring the same aramid fibers that gave the Original Pro Staff 85 such outstanding feel, the Pro Staff 97 is comfortably dampened without compromising your connection to the ball.  According to Wilson, this update brings back that classic Pro Staff feel with Paradigm Bending , a layup technology that optimizes the flex between hoop and shaft. This racquet also has FORTYFIVE technology, which strategically aligns the graphite fibers at a 45 degree angle to increase lateral bending through impact. The payoff is increased dwell time and pocketing for greater command over the ball. Like the previous generation, this racquet also has String Mapping , which combines denser spacing in the center for control with wider spacing at the margins for greater comfort outside the sweetspot. Ultimately, this update combines pinpoint precision with impressive stability and plow-through. Experienced players looking for a modern Pro Staff that doesn't forget its roots will love this one.  Swingweight lowered to 325 on 12.1.23"
86,RCWILSON-W97VX,"This new addition to Wilson's most legendary franchise provides a slightly more forgiving hitting experience to intermediate and advanced players Introducing the Pro Staff X v14 ! With this racquet, Wilson puts its legendary Pro Staff formula into a slightly more user-friendly head size. Compared to the Pro Staff 97, it features a more forgiving response along with a lower swingweight for easier handling. In addition to being a good option for intermediates, this 11.7 ounce stick packs enough mass and stability for advanced ball strikers. Technologies include Paradigm Bending , a layup technology that optimizes the flex between hoop and shaft to deliver that classic Pro Staff feel . This racquet also has FORTYFIVE technology, which strategically aligns the graphite fibers at a 45 degree angle to increase lateral bending through impact. The payoff is increased dwell time and pocketing for greater command over the ball.  Additional features include String Mapping , which combines denser spacing in the center for control with wider spacing at the margins for greater off-center comfort. Ultimately, by putting classic Pro Staff precision into a slightly larger head size, this new addition to Wilson's most storied racquet family checks all the right boxes. Intermediate and advanced players looking for a speedy player's racquet with controllable power and great feel will love this one."
87,RCWILSON-9714UL,"With this ultra light racquet, Wilson puts its legendary Pro Staff formula into an extremely user-friendly package Wilson updates the feel of the lightest member of the Pro Staff family but keeps the user-friendly speed and playability of the previous generation. Named the Pro Staff 97UL v14 , this racquet delivers an easy learning curve to dedicated beginners and early intermediate players. Boasting an ultra maneuverable swingweight, the Pro Staff 97UL not only makes it easy to achieve clean contact with the ball but it also enables less advanced players to achieve the required stroke speed for effective pace and spin. According to Wilson, this update recaptures that classic Pro Staff feel with Paradigm Bending a layup technology that optimizes the bending ratio between the shaft and head. This racquet also has FORTYFIVE technology, which strategically aligns the graphite fibers at a 45 degree angle to increase lateral bending through impact. The payoff is increased dwell time and pocketing for greater command over the ball. Like the previous generation, this racquet also has String Mapping , which combines denser spacing in the center for control with wider spacing at the margins for greater comfort outside the sweetspot. Ultimately, with some nice updates to the feel, this racquet continues to be an obvious option for improving players looking to tap into the controllable power and great feel of the legendary Pro Staff family."
88,RCWILSON-WPS614,"Introducing the Pro Staff Six.One 100 v14 ! With this racquet Wilson adds another chapter to the Six.One legend. Like the previous generation, this racquet will appeal to intermediate and advanced players who crave controllable power and great feel. In addition to an open 16x19 string pattern, this racquet not only comes around fast but it also has enough mass to redirect higher levels of pace. For 2023 Wilson brings back that classic Pro Staff feel with Paradigm Bending , a layup technology that optimizes the flex between hoop and shaft. This racquet also has FORTYFIVE technology, which strategically aligns the graphite fibers at a 45 degree angle to increase lateral bending through impact. With some nice updates to the feel, the Pro Staff Six.One continues to be a great option for intermediate and advanced players who want a versatile player's racquet with controllable power and great feel."
89,RCWILSON-WU99P5,"Experienced players looking to overwhelm their opponents with power and spin will love this new addition to the Ultra family Introducing the Ultra 99 Pro ! With this racquet, Wilson digs into the archive, using the same mold as the popular Steam 99. Defined by its stiff and tapered beam, the Ultra 99 Pro is a study in power and stability. It also features an open 16x18 string pattern, giving you the tools to hit heavy, spin-loaded shots. Other features include a 330 swingweight, which not only helps keep the racquet steady against big hitters but also delivers impressive power to those who can leverage its mass. Technologies include Wilson's revolutionary SI3D layup technology, which helps give this powerful racquet enhanced pocketing and spin. This stick also features inner hoop power grooves to increase the ability of the strings to absorb shock and transfer energy to the ball. Ultimately, this new addition to the Ultra family delivers an impressive combination of power, spin, and plow-through. Experienced players looking to overwhelm their opponents with power and spin will love this one."
90,RCWILSON-WU1005,"With updates to its revolutionary layup technology for 2025 Introducing the Ultra 100 v5 ! Like previous generations, this update combines explosive speed with easy access to power and spin. Compared to the outgoing model, this stick features a slightly more flexible beam construction while retaining the crisp feel and powerful response that define the franchise. For 2025, in addition to tightening spec tolerances, Wilson refines its innovative FORTYFIVE layup technology, enabling greater vertical flex for added spin potential and pocketing. Additional technologies include Crush Zone Grommets, which compress at impact to increase dwell time and further enhance comfort. The Ultra 100 also features a full carbon handle for enhanced torsional stability (think less frame wobble on off-center impact). Ultimately, the Ultra 100 V5 is a great option for intermediate and advanced players looking for a speedy player's racquet with easy access to power and spin."
92,RCWILSON-WUTEV5,"Intermediate players looking for a budget friendly entry point into the world of aggressive tennis will love this one Pre-strung for added savings! Introducing the perfect weapon for the rising intermediate player looking to hit with power and spin. It's called the Ultra Team v5 , and it offers an extremely user-friendly path to aggressive tennis. Considering its performance, the price is hard to beat. Like the previous generation, this update comes around fast, making it easy to load the ball with pace and spin. The speed continues in the front court, where the Ultra 100 Team V5 is perfect for hitting reaction volleys and put-aways. For 2025, in addition to tightening spec tolerances, Wilson refines its innovative FORTYFIVE layup technology, enabling greater vertical flex for added spin potential and pocketing. Additional technologies include Crush Zone grommets, which compress at impact to increase dwell time and further enhance comfort. The Ultra Team v5 also features a full carbon handle for enhanced torsional stability (think less frame wobble on off-center impact). Intermediate players looking for a budget-friendly entry point into the world of aggressive tennis will love this one."
93,RCWILSON-WU10L5,"This light version of the Ultra 100 specializes in speed, power, and spin Updated with a more arm-friendly feel for 2025, the Ultra 100L v5 is ideal for the rising intermediate player looking to master the mechanics of aggressive tennis. Like the previous generation, this racquet takes the spin and power of the standard Ultra 100 and puts it into a lighter, faster package. The result is a racquet that makes it easier for less advanced players to confidently hit their targets. For 2025, in addition to tightening spec tolerances, Wilson refines its innovative FORTYFIVE layup technology, enabling greater vertical flex for added spin potential and pocketing. Additional technologies include Crush Zone grommets, which compress at impact to increase dwell time and further enhance comfort. The Ultra 100L also features a full carbon handle for enhanced torsional stability (think less frame wobble on off-center impact). With some nice updates to the feel, the Ultra 100L remains a great option for the intermediate player seeking easy access to power and spin."
94,RCWILSON-WU1UL5,"For dedicated beginners and early intermediates, easy shot making starts here Updated with a friendlier feel for 2025, the Ultra 100UL v5 provides the perfect entry point into speed, power, and spin of the Ultra franchise. Defined by its light weight and user-friendly maneuverability , this racquet is perfect for mastering groundstrokes and volleys . For 2025, in addition to tightening spec tolerances and softening the feel, Wilson refines its innovative FORTYFIVE layup technology, enabling greater vertical flex for added spin potential and pocketing. Additional technologies include Crush Zone Grommets, which compress at impact to increase dwell time and further enhance comfort. The Ultra 100UL also features a full carbon handle for enhanced torsional stability (think less frame wobble on off-center impact). Ultimately, with some nice updates to the feel, this update checks all the right boxes. Rising players looking for an easier path to the next level should start here."
95,RCWILSON-WU1115,"Raw speed meets easy power With the Ultra 111 v5, Wilson adds a new model to the Ultra family. Defined by its forgiving 111-square-inch head, this racquet not only offers arm-friendly comfort, but it also makes it easier to achieve clean contact with the ball. On serves, power comes easy due to a slightly extended length. There is also plenty of spin to be had thanks to an open 16x18 string pattern. For 2025, in addition to tightening spec tolerances, Wilson refines its innovative FORTYFIVE layup technology, enabling greater vertical flex for added spin potential and pocketing. Additional technologies include Crush Zone Grommets, which compress at impact to increase dwell time and further enhance comfort. The Ultra 111 also features a full carbon handle for enhanced torsional stability (think less frame wobble on off-center impact). Ultimately, the Ultra 111 v5 is ideal for those who place a premium on power and comfort. The fact that it's also lightning fast is an added bonus."
96,RCWILSON-WSP315,"Spin-friendly Precision. Easy Power. Great Feel Introducing the Shift Pro ! With this racquet Wilson releases the official cosmetic version of the Wilson Labs Project Shift 99 315, a prototype released in February of 2023. Featuring a 99 square inch head and a surgical 18x20 string pattern, the Shift 99 Pro packs enough weight to comfortably redirect higher levels of pace while also offering plenty of pop to those who can leverage its mass. Despite having a tight pattern, the Shift Pro has impressive spin-potential, making it easier to control shot trajectory from the baseline and at net. As with the lighter Shift 99, this racquet's graphite fibers have been engineered to help the frame bend in ways that compliment the explosive mechanics of the modern game. Ultimately, the Shift 99 Pro not only delivers a comfortable feel with great ball feedback, it also packs enough precision and power to keep your opponent in check.  Technical Note: According to Wilson, this racquet has been designed to be torsionally stiff (for added stability and power when driving the ball) and laterally flexible (for increased dwell time on vertical  mechanics - think spin)."
97,RCWILSON-WSHIFUS,"This limited-edition racquet features a cosmetic inspired by the US Open Celebrate the US Open with this special cosmetic version of the Shift 99 ! With identical specs to the standard cosmetic Shift 99, this stick combines raw speed with spin-friendly precision and great feel. Under the hood, the Shift's graphite fibers have been meticulously engineered to help the racquet bend in ways that complement the vertical mechanics of the modern game (think spin). In addition to its impressive pocketing, the Shift's zippy swingweight makes it great for hitting shots on the run or reacting quickly at net. All in all, this is a great option for intermediate and advanced players who want a versatile modern player's racquet that doesn't skimp on feel. The beautiful US Open cosmetic is a nice bonus.   Technical Note: According to Wilson, this racquet has been designed to be torsionally stiff (for added stability and power when driving the ball) and laterally flexible (for increased dwell time on vertical mechanics - think spin)."
99,RCWILSON-WSP300,"Raw Speed. Controllable Power. Great feel. Introducing the Shift 99! With this racquet Wilson releases the official cosmetic version of the Wilson Labs Project Shift 99 300, a prototype released in February of 2023. Developed with extensive feedback from top coaches and elite players, the Shift 99 combines raw speed with spin-friendly precision and great feel.  Under the hood, the Shift's graphite fibers have been meticulously engineered to help the racquet bend in ways that compliment the vertical mechanics of the modern game (think spin). In addition to its impressive pocketing, the Shift's zippy swingweight makes it great for hitting shots on the run or reacting quickly at net. All in all, this is a great option for intermediate and advanced players who want a versatile modern player's racquet that doesn't skimp on feel.   Technical Note: According to Wilson, this racquet has been designed to be torsionally stiff (for added stability and power when driving the ball) and laterally flexible (for increased dwell time on vertical  mechanics - think spin)."
100,RCWILSON-WS99RG,"Wilson celebrates the French Open with this limited edition of the Shift 99 Wilson celebrates the French Open with this limited edition Shift 99 . Boasting the same specs as the standard cosmetic version, this racquet features a beautiful dark blue colorway with red accents. Developed with extensive feedback from top coaches and elite players, the Shift 99 combines raw speed with spin-friendly precision and great feel. Under the hood, the Shift's graphite fibers have been meticulously engineered to help the racquet bend in ways that complement the vertical mechanics of the modern game (think spin). In addition to its impressive pocketing, the Shift's zippy swingweight makes it great for hitting shots on the run or reacting quickly at net. All in all, this is a great option for intermediate and advanced players who want a versatile modern player's racquet that doesn't skimp on feel. The French Open Cosmetic is a nice bonus.   Technical Note: According to Wilson, this racquet has been designed to be torsionally stiff (for added stability and power when driving the ball) and laterally flexible (for increased dwell time on vertical mechanics - think spin)."
101,RCWILSON-WSP285,"Wilson puts the outstanding playability of the shift series into a lighter, faster package Introducing the Shift 99L ! With this racquet, Wilson brings the incredible playability of the Shift series to the rising intermediate player. Boasting a sub 315 swingweight, this stick delivers the incalculable benefits of speed. In addition to whipping up spin from the back court, the Shift 99L will increase your reaction time at net. As with the heavier models, this racquet has been meticulously crafted to bend in ways that facilitate the explosive and spin-friendly mechanics of the modern game. It also provides the control benefits of a 16x20 string pattern, which will give you more confidence when targeting the lines. Ultimately, this is a great option for players who a more user-friendly entry point into the Shift family."
102,RCWILSON-WB1SV6,"This spin monster comes at price that is too good to refuse Introducing the Burn 100S v6! Updated with a new cosmetic for 2026, this spin-monster gives intermediate and advanced players the tools to overwhelm their opponents with power and spin. Boasting an 18x16 Spin Effect string pattern, the Burn 100S puts a tight grip on the ball, resulting in easier access to spin. Made with a firm Carbon Fiber Graphite , the Burn's response feels crisp and powerful. This stick also features Parallel Drilling which helps the strings soak up more vibration and transfer greater energy to the ball. Ultimately, this powerful and spin-friendly weapon is dangerous in the hands of an aggressive player. The great price makes it one of the better options in its class."
103,RCWILSON-BRNLS6,"Explosive Speed. Easy Spin. Great Price Introducing the Burn 100LS v6! Updated with a new cosmetic for 2026, this speedy spin machine packs an impressive combination of spin, precision and power. Like the previous generation, this racquet will appeal to rising Intermediate players who want explosive speed and spin-friendly targeting. With its grippy Spin Effect string pattern, the Burn 100LS v5 will help you hit a spin-loaded ball that drops hard and jumps off the court. Made with a firm Carbon Fiber Graphite , the Burn's response feels crisp and powerful. This stick also features Parallel Drilling which helps the strings soak up more vibration and transfer greater energy to the ball. All in all, Wilson has created a great option for intermediate players looking to attack the ball and keep their opponents on defense."
104,RCWILSON-BRNSV5,"This spin monster comes at price that is too good to refuse Introducing the Burn 100S v5! Like the previous generation, this spin-monster gives intermediate and advanced players the tools to overwhelm their opponents with power and spin. Boasting an 18x16 Spin Effect string pattern, the Burn 100S puts a tight grip on the ball, resulting in easier access to spin. Made with a firm Carbon Fiber Graphite , the Burn's response feels crisp and powerful. This stick also features Parallel Drilling which helps the strings soak up more vibration and transfer greater energy to the ball. Ultimately, this powerful and spin-friendly weapon is dangerous in the hands of an aggressive player. The great price makes it one of the better options in its class."
105,RCWILSON-WTRI3,"Introducing one of the most arm-friendly racquets on the market. It's called the Triad Three , and it will give beginner and intermediate level players an outstanding combination of comfort and power. Thanks to its time-tested Triad Technology , this racquet features an ultra low stiffness rating and one of the industry's best technologies for reducing impact vibration. With its large 113 square inch head, the Triad Three provides a nice margin of error, ensuring that performance and comfort remain high when contact is less than perfect. The extra length (27.5"") means that you'll be able to attack the ball with extra momentum, a fact that bodes well for those who want to hit with more power and spin. In addition to this racquet's luxurious Triad technology, it also comes with Power Holes , which enables the string bed to soak up additional vibration and transfer more power to your shot. From the baseline this racquet's head heavy balance gives it outstanding stability and comfort. Medium length strokes produce plenty of depth, with blistering pace available to those who swing this racquet fast . At net this stick feels stable against pace and it provides a generous platform for making clean contact with the ball. The extended length makes for easy net clearance and massive power on serves. Players who place a premium on comfort and power should take a serious look at the Wilson Triad Three."
107,RCWILSON-53OS,"This racquet comes pre-strung for added convenience and value! One of the most popular selling Hyper Carbon models. Although light and maneuverable with a slight head heavy balance, the 5.3 Oversize is not as top-heavy as most other Hammer models. At 27.5 inches, it provides a little more leverage and reach than a standard length racquet, without impeding reaction to balls hit close to the body. Doubles players may favor the Oversize because of the the power provided on serve with plenty of pop and forgiveness at net. Recommended to beginner and intermediate players."
116,RCHEAD-HSPDT6,"Head adds a surgical and spin-friendly option for 2026 With the 2026 introduction of the Speed Tour , Head introduces the most surgical head size in the history of the Speed family. The payoff is control, making it easier for aggressive players to target the lines or swing bigger when loading the ball with pace and spin. It also packs a 325 swingweight, giving it sufficient stability without feeling sluggish when the pressure is on. In keeping with the Speed DNA, it has great ball feedback thanks in part to the sub-64 RA stiffness. Technologies include Hy-Bor , which integrates compression-resistant boron fibers into the shaft for a more stable and connected feel through impact. Additional technologies include the return of Auxetic 2, positioned in the yoke and handle to further optimize feel and response. This model also gives you the benefit of Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, the Tour is a welcome addition to the Speed family. Players who like taking big cuts at the ball will appreciate the added control just as much as the finesse player looking to drop the ball on a dime ."
117,RCHEAD-HSPMP6,"Updated with a new material technology for 2026 Introducing the Speed MP 2026 ! Defined by comfort and controllable power, this racquet packs a 60 RA, giving it the kind of buttery feedback experienced players crave. Compared to the Speed Pro, the MP comes with a 16x19 string pattern, resulting in slightly easier spin, though it stops shy of the heavy RPMs delivered by the Extreme MP. It also features a 325+ swingweight, keeping it stable against big hitters while upping the power potential. This update brings in Hy-Bor, a new material that uses compression-resistant boron fibers in the shaft to improve stability and connection through impact. Auxetic 2 in the yoke and handle further enhances the feel and response.As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, with some nice updates to the feel, the Speed MP continues to be a solid option for intermediate and advanced ball strikers looking for controllable power and great feel."
118,RCHEAD-HSPDP6,"Updated with a new material technology for 2026! Head adds another chapter to the Speed Pro ! In addition to its stable and plush feel, the Speed Pro 2026 packs an 18x20 string pattern, giving it a laser-like trajectory and exceptional command over the ball. The Speed Pro also packs a buttery 61RA stiffness along with outstanding sound at impact. For this update, Head introduces a new material technology called Hy-Bor , which puts compression-resistant boron fibers in the shaft to create a more stable and connected feel through impact. Additional technologies include the return of Auxetic 2 in the yoke and handle to further optimize the feel and response. As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, this update preserves the Speed Pro's control while also enhancing the feel (and sound). Players who like confidently driving the ball through the court will love this one."
119,RCHEAD-HSPTM6,"Updated with a new material technology for 2026 Introducing the 2026 Speed Team ! Like the original version, this racquet is defined by its generous 105-square-inch head, making it the most forgiving and powerful member of the Speed family. It's also fast, giving it easy acceleration from the baseline and quick handling at net. Spin comes easy, thanks to an open 16x19 string pattern and generous spin window. As with other members of the Speed family, this racquet's sub-64 RA beam stiffness gives it an arm-friendly feel at impact. For 2026, Head extends the length to 27.4"", resulting in easier power on serves and groundstrokes. Head also adds a new material technology called Hy-Bor, which puts compression-resistant boron fibers in the shaft to create a more stable and connected feel through impact. Additional technologies include the return of Auxetic 2 in the yoke and handle to further optimize the feel and response. As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, with this update, Head keeps a good thing going. Beginner and intermediate players looking to hone their skills with the help of a larger, more forgiving option will love this one."
120,RCHEAD-HSMPL6,"Updated with a new material technology for 2026 Updated with a new material technology for 2026, the Speed MP L combines easy targeting with impressive comfort. Like the previous generation, this racquet is defined by its user-friendly weight, making it ideal for improving intermediate players looking to perfect their mechanics and rise to the next level. In addition to its 16x19 string pattern, the Speed MP L 2026 has a buttery 61-RA beam stiffness, making it one of the most arm-friendly members of its class. For this update, Head introduces a new material technology called Hy-Bor, which puts compression-resistant boron fibers in the shaft to create a more stable and connected feel through impact. Additional technologies include the Auxetic 2 in the yoke and handle to further optimize the feel and response. As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, with this user-friendly version of the Speed MP, Head gives rising intermediate players an impressive combination of controllable power and great feel."
121,RCHEAD-HSMPUL,"Head delivers the perfect entry point into the controllable power and great feel of the Speed franchise With the Speed MP L 2026, Head puts the controllable power and great feel of the Speed franchise into an extremely light and user-friendly package. With its ultra maneuverable weight, this racquet delivers an easy learning curve to dedicated beginners and early intermediate players. In addition to its 16x19 string pattern and spin-friendly targeting, the Speed MP UL 2026 has a butter 61-RA beam stiffness, making it one of the most arm-friendly models in its weight class. As with other members of the Speed family, this racquet features Hy-Bor, which puts compression-resistant boron fibers in the shaft to create a more stable and connected feel through impact. Additional technologies include the Auxetic 2 in the yoke and handle to further optimize the feel and response. As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, with this ultralight version of the Speed MP, this is a great option for novice players looking to hone their skills and rise to next level."
122,RCHEAD-HSPELT,Head serves up the perfect racquet for value hunters
123,RCHEAD-HSPPL5,"Updated with a new material technology for 2025! Head adds another chapter to the Speed Pro Legend ! Endorsed by Novak Djokovic, this racquet shares the same mold and target specs as the standard Speed Pro. In addition to its stable and plush feel, the Speed Pro Legend packs an 18x20 string pattern, giving it a very predictable and laser-like trajectory. The result is exceptional command over the ball . The Legend also packs a buttery 61RA stiffness, along with providing an outstanding sound at impact. For 2025 , Head introduces a new material technology called Hy-Bor , which puts compression-resistant boron fibers in the shaft to create a more stable and connected feel through impact. Additional technologies include the return of Auxetic 2 in the yoke and handle to further optimize the feel and response. As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, this update preserves the Speed Pro's control while also enhancing the feel (and sound). Players who like confidently driving the ball through the court will love this one."
125,RCHEAD-HSMPL5,"Head introduces a new material technology with this update to the Speed MP Legend Introducing the 2025 Speed MP Legend ! Styled with a stealth black cosmetic, this stick features the same mold and factory target specs as the standard Speed MP. In addition to its comfort and controllable power, the Legend packs a 60 RA, giving it the kind of buttery feedback experienced players crave. Compared to the Speed Pro Legend, the MP comes with a 16x19 string pattern, resulting in slightly easier spin, though it stops shy of the heavy RPMs delivered by the Extreme MP. It also features a 325+ swingweight, keeping it stable against big hitters while upping the power potential. This model marks the introduction of a new material technology, Hy-Bor , which puts compression-resistant boron fibers in the shaft to create a more stable and connected feel through impact. This is complemented by Auxetic 2 in the yoke and handle to further optimize the feel and response. As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, with some nice updates to the feel, the Speed MP Legend continues to be a solid option for intermediate and advanced ball strikers looking for controllable power and great feel."
126,RCHEAD-HSPDPL,Head celebrates one of the game's most legendary racquets with a sleek black cosmetic
127,RCHEAD-HSPMPL,"This limited edition version of the Speed MP features a sleek black cosmetic Introducing the Speed MP Legend ! Featuring the same specs and playability as the standard Speed MP 2024, this racquet sports a sleek black cosmetic. On the court, this stick not only feels rock-solid on groundies and volleys, but it also rewards full cuts with enough power to close out points. For 2024, in addition to a slightly more flexible and arm-friendly stiffness rating, Head adds Auxetic 2 to the layup, a uniquely flexible material in the yoke and handle to optimize the feel and response. The Speed MP also benefits from Graphene 360+ (labeled Graphene Inside ), which strengthens the frame in key locations to provide a more powerful and stable hitting experience. Ultimately, the Speed MP Legend is a great option for intermediate and advanced players who want controllable power and great feel. The limited edition cosmetic is a nice bonus."
128,RCHEAD-HSPDP,Updated with Auxetic 2 for 2024
129,RCHEAD-HSPDM,"Updated with Auxetic 2 for 2024 For 2024, Head updates the Speed MP with Auxetic 2 while also keeping the impressive comfort and responsiveness of previous generations. Compared to the Speed Pro, the Speed MP 2024 not only offers easier access to spin, but it also has a slightly higher launch angle for easier access to depth. With its 325+ swingweight, the Speed MP feels rock solid on groundies and volleys and it rewards full cuts with enough power to close out points. For 2024, in addition to a slightly more flexible and arm-friendly stiffness rating, Head adds Auxetic 2 to the layup, a uniquely flexible material in the yoke and handle to optimize the feel and response. The Speed MP also benefits from Graphene 360+ (labeled Graphene Inside ), which strengthens the frame in key locations to provide a more powerful and stable hitting experience. Ultimately, with subtle updates to the feel for 2024, the Speed MP continues to be a great option for intermediate and advanced players who want controllable power and great feel."
