,racquet_id,racquet_url,racquet_name,racquet_brand,racquet_img,racquet_rating,racquet_price,racquet_description,racquet_swingweight,racquet_composition,racquet_power_level,racquet_stroke_style,racquet_swing_speed,racquet_colors,racquet_grip_type,racquet_head_size_sq_in,racquet_length_in,racquet_strung_weight_oz,racquet_balance_in,racquet_balance_HH_HL,racquet_stiffness,racquet_avg_beam_width,racquet_mains,racquet_crosses,racquet_tension_lower,racquet_tension_upper
90,RCWILSON-WU1005,https://www.tennis-warehouse.com/Wilson_Ultra_100_v5/descpageRCWILSON-WU1005.html,Wilson Ultra 100 v5,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WU1005-1.jpg&nw=455,4.0,299.0,"With updates to its revolutionary layup technology for 2025 Introducing the Ultra 100 v5 ! Like previous generations, this update combines explosive speed with easy access to power and spin. Compared to the outgoing model, this stick features a slightly more flexible beam construction while retaining the crisp feel and powerful response that define the franchise. For 2025, in addition to tightening spec tolerances, Wilson refines its innovative FORTYFIVE layup technology, enabling greater vertical flex for added spin potential and pocketing. Additional technologies include Crush Zone Grommets, which compress at impact to increase dwell time and further enhance comfort. The Ultra 100 also features a full carbon handle for enhanced torsional stability (think less frame wobble on off-center impact). Ultimately, the Ultra 100 V5 is a great option for intermediate and advanced players looking for a speedy player's racquet with easy access to power and spin.",322.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Wilson Pro Performance,100.0,27.0,11.0,13.0,4.0,67.0,25.0,16.0,19.0,50.0,60.0
92,RCWILSON-WUTEV5,https://www.tennis-warehouse.com/Wilson_Ultra_Team_v5/descpageRCWILSON-WUTEV5.html,Wilson Ultra Team v5,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WUTEV5-1.jpg&nw=455,,189.0,"Intermediate players looking for a budget friendly entry point into the world of aggressive tennis will love this one Pre-strung for added savings! Introducing the perfect weapon for the rising intermediate player looking to hit with power and spin. It's called the Ultra Team v5 , and it offers an extremely user-friendly path to aggressive tennis. Considering its performance, the price is hard to beat. Like the previous generation, this update comes around fast, making it easy to load the ball with pace and spin. The speed continues in the front court, where the Ultra 100 Team V5 is perfect for hitting reaction volleys and put-aways. For 2025, in addition to tightening spec tolerances, Wilson refines its innovative FORTYFIVE layup technology, enabling greater vertical flex for added spin potential and pocketing. Additional technologies include Crush Zone grommets, which compress at impact to increase dwell time and further enhance comfort. The Ultra Team v5 also features a full carbon handle for enhanced torsional stability (think less frame wobble on off-center impact). Intermediate players looking for a budget-friendly entry point into the world of aggressive tennis will love this one.",312.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Wilson Pro Performance,100.0,27.0,10.0,13.19,2.0,64.0,23.333333333333332,16.0,19.0,50.0,60.0
93,RCWILSON-WU10L5,https://www.tennis-warehouse.com/Wilson_Ultra_100L_v5/descpageRCWILSON-WU10L5.html,Wilson Ultra 100L v5,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WU10L5-1.jpg&nw=455,5.0,289.0,"This light version of the Ultra 100 specializes in speed, power, and spin Updated with a more arm-friendly feel for 2025, the Ultra 100L v5 is ideal for the rising intermediate player looking to master the mechanics of aggressive tennis. Like the previous generation, this racquet takes the spin and power of the standard Ultra 100 and puts it into a lighter, faster package. The result is a racquet that makes it easier for less advanced players to confidently hit their targets. For 2025, in addition to tightening spec tolerances, Wilson refines its innovative FORTYFIVE layup technology, enabling greater vertical flex for added spin potential and pocketing. Additional technologies include Crush Zone grommets, which compress at impact to increase dwell time and further enhance comfort. The Ultra 100L also features a full carbon handle for enhanced torsional stability (think less frame wobble on off-center impact). With some nice updates to the feel, the Ultra 100L remains a great option for the intermediate player seeking easy access to power and spin.",310.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Wilson Pro Performance,100.0,27.0,10.0,12.99,4.0,64.0,25.0,16.0,19.0,50.0,60.0
94,RCWILSON-WU1UL5,https://www.tennis-warehouse.com/Wilson_Ultra_100UL_v5/descpageRCWILSON-WU1UL5.html,Wilson Ultra 100UL v5,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WU1UL5-1.jpg&nw=455,5.0,279.0,"For dedicated beginners and early intermediates, easy shot making starts here Updated with a friendlier feel for 2025, the Ultra 100UL v5 provides the perfect entry point into speed, power, and spin of the Ultra franchise. Defined by its light weight and user-friendly maneuverability , this racquet is perfect for mastering groundstrokes and volleys . For 2025, in addition to tightening spec tolerances and softening the feel, Wilson refines its innovative FORTYFIVE layup technology, enabling greater vertical flex for added spin potential and pocketing. Additional technologies include Crush Zone Grommets, which compress at impact to increase dwell time and further enhance comfort. The Ultra 100UL also features a full carbon handle for enhanced torsional stability (think less frame wobble on off-center impact). Ultimately, with some nice updates to the feel, this update checks all the right boxes. Rising players looking for an easier path to the next level should start here.",290.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Wilson Pro Performance,100.0,27.0,9.0,13.7,-2.0,65.0,25.0,16.0,19.0,50.0,60.0
95,RCWILSON-WU1115,https://www.tennis-warehouse.com/Wilson_Ultra_111_v5/descpageRCWILSON-WU1115.html,Wilson Ultra 111 v5,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WU1115-1.jpg&nw=455,5.0,289.0,"Raw speed meets easy power With the Ultra 111 v5, Wilson adds a new model to the Ultra family. Defined by its forgiving 111-square-inch head, this racquet not only offers arm-friendly comfort, but it also makes it easier to achieve clean contact with the ball. On serves, power comes easy due to a slightly extended length. There is also plenty of spin to be had thanks to an open 16x18 string pattern. For 2025, in addition to tightening spec tolerances, Wilson refines its innovative FORTYFIVE layup technology, enabling greater vertical flex for added spin potential and pocketing. Additional technologies include Crush Zone Grommets, which compress at impact to increase dwell time and further enhance comfort. The Ultra 111 also features a full carbon handle for enhanced torsional stability (think less frame wobble on off-center impact). Ultimately, the Ultra 111 v5 is ideal for those who place a premium on power and comfort. The fact that it's also lightning fast is an added bonus.",290.0,Carbon Fiber Graphite,Medium-High,Compact-Medium,Slow-Moderate,Blue,Wilson Pro Performance,111.0,27.25,10.0,13.0,5.0,66.0,26.166666666666668,16.0,18.0,50.0,60.0
96,RCWILSON-WSP315,https://www.tennis-warehouse.com/Wilson_Shift_99_Pro/descpageRCWILSON-WSP315.html,Wilson Shift 99 Pro,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WSP315-1.jpg&nw=455,4.6,179.0,"Spin-friendly Precision. Easy Power. Great Feel Introducing the Shift Pro ! With this racquet Wilson releases the official cosmetic version of the Wilson Labs Project Shift 99 315, a prototype released in February of 2023. Featuring a 99 square inch head and a surgical 18x20 string pattern, the Shift 99 Pro packs enough weight to comfortably redirect higher levels of pace while also offering plenty of pop to those who can leverage its mass. Despite having a tight pattern, the Shift Pro has impressive spin-potential, making it easier to control shot trajectory from the baseline and at net. As with the lighter Shift 99, this racquet's graphite fibers have been engineered to help the frame bend in ways that compliment the explosive mechanics of the modern game. Ultimately, the Shift 99 Pro not only delivers a comfortable feel with great ball feedback, it also packs enough precision and power to keep your opponent in check.  Technical Note: According to Wilson, this racquet has been designed to be torsionally stiff (for added stability and power when driving the ball) and laterally flexible (for increased dwell time on vertical  mechanics - think spin).",332.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,White,Wilson Pro Performance,99.0,27.0,11.0,12.75,6.0,68.0,23.5,18.0,20.0,48.0,58.0
97,RCWILSON-WSHIFUS,https://www.tennis-warehouse.com/Wilson_Shift_99_US_Open/descpageRCWILSON-WSHIFUS.html,Wilson Shift 99 US Open,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WSHIFUS-1.jpg&nw=455,4.7,199.0,"This limited-edition racquet features a cosmetic inspired by the US Open Celebrate the US Open with this special cosmetic version of the Shift 99 ! With identical specs to the standard cosmetic Shift 99, this stick combines raw speed with spin-friendly precision and great feel. Under the hood, the Shift's graphite fibers have been meticulously engineered to help the racquet bend in ways that complement the vertical mechanics of the modern game (think spin). In addition to its impressive pocketing, the Shift's zippy swingweight makes it great for hitting shots on the run or reacting quickly at net. All in all, this is a great option for intermediate and advanced players who want a versatile modern player's racquet that doesn't skimp on feel. The beautiful US Open cosmetic is a nice bonus.   Technical Note: According to Wilson, this racquet has been designed to be torsionally stiff (for added stability and power when driving the ball) and laterally flexible (for increased dwell time on vertical mechanics - think spin).",317.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,US Open Cosmetic!,Wilson Pro Performance,99.0,27.0,11.0,12.75,6.0,67.0,23.5,16.0,20.0,48.0,58.0
99,RCWILSON-WSP300,https://www.tennis-warehouse.com/Wilson_Shift_99/descpageRCWILSON-WSP300.html,Wilson Shift 99,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WSP300-1.jpg&nw=455,4.7,179.0,"Raw Speed. Controllable Power. Great feel. Introducing the Shift 99! With this racquet Wilson releases the official cosmetic version of the Wilson Labs Project Shift 99 300, a prototype released in February of 2023. Developed with extensive feedback from top coaches and elite players, the Shift 99 combines raw speed with spin-friendly precision and great feel.  Under the hood, the Shift's graphite fibers have been meticulously engineered to help the racquet bend in ways that compliment the vertical mechanics of the modern game (think spin). In addition to its impressive pocketing, the Shift's zippy swingweight makes it great for hitting shots on the run or reacting quickly at net. All in all, this is a great option for intermediate and advanced players who want a versatile modern player's racquet that doesn't skimp on feel.   Technical Note: According to Wilson, this racquet has been designed to be torsionally stiff (for added stability and power when driving the ball) and laterally flexible (for increased dwell time on vertical  mechanics - think spin).",317.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,White,Wilson Pro Performance,99.0,27.0,11.0,12.75,6.0,67.0,23.5,16.0,20.0,48.0,58.0
100,RCWILSON-WS99RG,https://www.tennis-warehouse.com/Wilson_Shift_99_Roland_Garros_Session_Soiree/descpageRCWILSON-WS99RG.html,Wilson Shift 99 Roland Garros Session Soiree,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WS99RG-1.jpg&nw=455,4.7,199.0,"Wilson celebrates the French Open with this limited edition of the Shift 99 Wilson celebrates the French Open with this limited edition Shift 99 . Boasting the same specs as the standard cosmetic version, this racquet features a beautiful dark blue colorway with red accents. Developed with extensive feedback from top coaches and elite players, the Shift 99 combines raw speed with spin-friendly precision and great feel. Under the hood, the Shift's graphite fibers have been meticulously engineered to help the racquet bend in ways that complement the vertical mechanics of the modern game (think spin). In addition to its impressive pocketing, the Shift's zippy swingweight makes it great for hitting shots on the run or reacting quickly at net. All in all, this is a great option for intermediate and advanced players who want a versatile modern player's racquet that doesn't skimp on feel. The French Open Cosmetic is a nice bonus.   Technical Note: According to Wilson, this racquet has been designed to be torsionally stiff (for added stability and power when driving the ball) and laterally flexible (for increased dwell time on vertical mechanics - think spin).",317.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,French Open Cosmetic!,Wilson Pro Performance,99.0,27.0,11.0,12.75,6.0,67.0,23.5,16.0,20.0,48.0,58.0
101,RCWILSON-WSP285,https://www.tennis-warehouse.com/Wilson_Shift_99L/descpageRCWILSON-WSP285.html,Wilson Shift 99L,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WSP285-1.jpg&nw=455,4.7,169.0,"Wilson puts the outstanding playability of the shift series into a lighter, faster package Introducing the Shift 99L ! With this racquet, Wilson brings the incredible playability of the Shift series to the rising intermediate player. Boasting a sub 315 swingweight, this stick delivers the incalculable benefits of speed. In addition to whipping up spin from the back court, the Shift 99L will increase your reaction time at net. As with the heavier models, this racquet has been meticulously crafted to bend in ways that facilitate the explosive and spin-friendly mechanics of the modern game. It also provides the control benefits of a 16x20 string pattern, which will give you more confidence when targeting the lines. Ultimately, this is a great option for players who a more user-friendly entry point into the Shift family.",311.0,Graphite,Low-Medium,Medium-Full,Medium-Fast,White,Wilson Pro Performance,99.0,27.0,10.0,12.85,5.0,68.0,23.5,16.0,20.0,48.0,58.0
102,RCWILSON-WB1SV6,https://www.tennis-warehouse.com/Wilson_Burn_100S_v6/descpageRCWILSON-WB1SV6.html,Wilson Burn 100S v6,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WB1SV6-1.jpg&nw=455,,159.0,"This spin monster comes at price that is too good to refuse Introducing the Burn 100S v6! Updated with a new cosmetic for 2026, this spin-monster gives intermediate and advanced players the tools to overwhelm their opponents with power and spin. Boasting an 18x16 Spin Effect string pattern, the Burn 100S puts a tight grip on the ball, resulting in easier access to spin. Made with a firm Carbon Fiber Graphite , the Burn's response feels crisp and powerful. This stick also features Parallel Drilling which helps the strings soak up more vibration and transfer greater energy to the ball. Ultimately, this powerful and spin-friendly weapon is dangerous in the hands of an aggressive player. The great price makes it one of the better options in its class.",328.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,Medium-Fast,Orange,Wilson Pro Performance,100.0,27.0,11.0,13.35,1.0,71.0,24.0,18.0,16.0,47.0,57.0
103,RCWILSON-BRNLS6,https://www.tennis-warehouse.com/Wilson_Burn_100_LS_v6/descpageRCWILSON-BRNLS6.html,Wilson Burn 100 LS v6,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=BRNLS6-1.jpg&nw=455,,149.0,"Explosive Speed. Easy Spin. Great Price Introducing the Burn 100LS v6! Updated with a new cosmetic for 2026, this speedy spin machine packs an impressive combination of spin, precision and power. Like the previous generation, this racquet will appeal to rising Intermediate players who want explosive speed and spin-friendly targeting. With its grippy Spin Effect string pattern, the Burn 100LS v5 will help you hit a spin-loaded ball that drops hard and jumps off the court. Made with a firm Carbon Fiber Graphite , the Burn's response feels crisp and powerful. This stick also features Parallel Drilling which helps the strings soak up more vibration and transfer greater energy to the ball. All in all, Wilson has created a great option for intermediate players looking to attack the ball and keep their opponents on defense.",313.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,Medium-Fast,Orange,Wilson Pro Performance,100.0,27.0,10.0,13.12,3.0,72.0,24.0,18.0,16.0,47.0,57.0
104,RCWILSON-BRNSV5,https://www.tennis-warehouse.com/Wilson_Burn_100S_v5/descpageRCWILSON-BRNSV5.html,Wilson Burn 100S v5,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=BRNSV5-1.jpg&nw=455,2.7,99.0,"This spin monster comes at price that is too good to refuse Introducing the Burn 100S v5! Like the previous generation, this spin-monster gives intermediate and advanced players the tools to overwhelm their opponents with power and spin. Boasting an 18x16 Spin Effect string pattern, the Burn 100S puts a tight grip on the ball, resulting in easier access to spin. Made with a firm Carbon Fiber Graphite , the Burn's response feels crisp and powerful. This stick also features Parallel Drilling which helps the strings soak up more vibration and transfer greater energy to the ball. Ultimately, this powerful and spin-friendly weapon is dangerous in the hands of an aggressive player. The great price makes it one of the better options in its class.",325.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,Medium-Fast,Orange,Wilson Pro Performance,100.0,27.0,11.0,13.35,1.0,73.0,24.0,18.0,16.0,50.0,60.0
105,RCWILSON-WTRI3,https://www.tennis-warehouse.com/Wilson_Triad_Three/descpageRCWILSON-WTRI3.html,Wilson Triad Three,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WTRI3-1.jpg&nw=455,4.9,269.0,"Introducing one of the most arm-friendly racquets on the market. It's called the Triad Three , and it will give beginner and intermediate level players an outstanding combination of comfort and power. Thanks to its time-tested Triad Technology , this racquet features an ultra low stiffness rating and one of the industry's best technologies for reducing impact vibration. With its large 113 square inch head, the Triad Three provides a nice margin of error, ensuring that performance and comfort remain high when contact is less than perfect. The extra length (27.5"") means that you'll be able to attack the ball with extra momentum, a fact that bodes well for those who want to hit with more power and spin. In addition to this racquet's luxurious Triad technology, it also comes with Power Holes , which enables the string bed to soak up additional vibration and transfer more power to your shot. From the baseline this racquet's head heavy balance gives it outstanding stability and comfort. Medium length strokes produce plenty of depth, with blistering pace available to those who swing this racquet fast . At net this stick feels stable against pace and it provides a generous platform for making clean contact with the ball. The extended length makes for easy net clearance and massive power on serves. Players who place a premium on comfort and power should take a serious look at the Wilson Triad Three.",331.0,Graphite,Medium-High,Compact-Medium,Slow-Moderate,Blue,Wilson Synthetic,113.0,27.5,9.0,14.56,-6.0,,27.333333333333332,16.0,19.0,50.0,60.0
106,RCWILSON-WTRI5,https://www.tennis-warehouse.com/Wilson_Triad_Five/descpageRCWILSON-WTRI5.html,Wilson Triad Five,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=WTRI5-1.jpg&nw=455,4.9,269.0,,324.0,Graphite,Medium,Medium,Medium,Red,Wilson Synthetic,103.0,27.25,10.0,14.37,-6.0,,26.0,16.0,20.0,50.0,60.0
107,RCWILSON-53OS,https://www.tennis-warehouse.com/Wilson_Hyper_Hammer_53_Stretch_OS/descpageRCWILSON-53OS.html,Wilson Hyper Hammer 5.3 Stretch OS,Wilson,https://img.tennis-warehouse.com/watermark/rs.php?path=53OS-1.jpg&nw=455,4.6,169.0,"This racquet comes pre-strung for added convenience and value! One of the most popular selling Hyper Carbon models. Although light and maneuverable with a slight head heavy balance, the 5.3 Oversize is not as top-heavy as most other Hammer models. At 27.5 inches, it provides a little more leverage and reach than a standard length racquet, without impeding reaction to balls hit close to the body. Doubles players may favor the Oversize because of the the power provided on serve with plenty of pop and forgiveness at net. Recommended to beginner and intermediate players.",301.0,15% Hyper Carbon / 85% Graphite,Medium,Medium,Medium,Black & White w/ Gold highlights,Cushion Aire Conform Grip,110.0,27.5,9.0,14.8,-8.0,70.0,26.0,16.0,20.0,55.0,65.0
116,RCHEAD-HSPDT6,https://www.tennis-warehouse.com/Head_Speed_Tour_2026/descpageRCHEAD-HSPDT6.html,Head Speed Tour 2026,Head,https://img.tennis-warehouse.com/watermark/rs.php?path=HSPDT6-1.jpg&nw=455,4.2,269.0,"Head adds a surgical and spin-friendly option for 2026 With the 2026 introduction of the Speed Tour , Head introduces the most surgical head size in the history of the Speed family. The payoff is control, making it easier for aggressive players to target the lines or swing bigger when loading the ball with pace and spin. It also packs a 325 swingweight, giving it sufficient stability without feeling sluggish when the pressure is on. In keeping with the Speed DNA, it has great ball feedback thanks in part to the sub-64 RA stiffness. Technologies include Hy-Bor , which integrates compression-resistant boron fibers into the shaft for a more stable and connected feel through impact. Additional technologies include the return of Auxetic 2, positioned in the yoke and handle to further optimize feel and response. This model also gives you the benefit of Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, the Tour is a welcome addition to the Speed family. Players who like taking big cuts at the ball will appreciate the added control just as much as the finesse player looking to drop the ball on a dime .",325.0,Auxetic 2/Graphene Inside/Boron/Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Black,Head Hydrosorb Pro,97.0,27.0,11.0,12.79,6.0,61.0,23.0,16.0,19.0,48.0,57.0
117,RCHEAD-HSPMP6,https://www.tennis-warehouse.com/Head_Speed_MP_2026/descpageRCHEAD-HSPMP6.html,Head Speed MP 2026,Head,https://img.tennis-warehouse.com/watermark/rs.php?path=HSPMP6-1.jpg&nw=455,4.4,259.0,"Updated with a new material technology for 2026 Introducing the Speed MP 2026 ! Defined by comfort and controllable power, this racquet packs a 60 RA, giving it the kind of buttery feedback experienced players crave. Compared to the Speed Pro, the MP comes with a 16x19 string pattern, resulting in slightly easier spin, though it stops shy of the heavy RPMs delivered by the Extreme MP. It also features a 325+ swingweight, keeping it stable against big hitters while upping the power potential. This update brings in Hy-Bor, a new material that uses compression-resistant boron fibers in the shaft to improve stability and connection through impact. Auxetic 2 in the yoke and handle further enhances the feel and response.As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, with some nice updates to the feel, the Speed MP continues to be a solid option for intermediate and advanced ball strikers looking for controllable power and great feel.",329.0,Auxetic 2/Graphene Inside/Boron/Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Black,Head Hydrosorb Pro,100.0,27.0,11.0,13.0,4.0,60.0,23.0,16.0,19.0,48.0,57.0
118,RCHEAD-HSPDP6,https://www.tennis-warehouse.com/Head_Speed_Pro_2026/descpageRCHEAD-HSPDP6.html,Head Speed Pro 2026,Head,https://img.tennis-warehouse.com/watermark/rs.php?path=HSPDP6-1.jpg&nw=455,5.0,269.0,"Updated with a new material technology for 2026! Head adds another chapter to the Speed Pro ! In addition to its stable and plush feel, the Speed Pro 2026 packs an 18x20 string pattern, giving it a laser-like trajectory and exceptional command over the ball. The Speed Pro also packs a buttery 61RA stiffness along with outstanding sound at impact. For this update, Head introduces a new material technology called Hy-Bor , which puts compression-resistant boron fibers in the shaft to create a more stable and connected feel through impact. Additional technologies include the return of Auxetic 2 in the yoke and handle to further optimize the feel and response. As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, this update preserves the Speed Pro's control while also enhancing the feel (and sound). Players who like confidently driving the ball through the court will love this one.",328.0,Auxetic 2/Graphene Inside/Boron/Graphite,Low,Full,Fast,White/Black,Head Hydrosorb Pro,100.0,27.0,11.0,12.59,7.0,61.0,23.0,18.0,20.0,48.0,57.0
119,RCHEAD-HSPTM6,https://www.tennis-warehouse.com/Head_Speed_Team_2026/descpageRCHEAD-HSPTM6.html,Head Speed Team 2026,Head,https://img.tennis-warehouse.com/watermark/rs.php?path=HSPTM6-1.jpg&nw=455,,239.0,"Updated with a new material technology for 2026 Introducing the 2026 Speed Team ! Like the original version, this racquet is defined by its generous 105-square-inch head, making it the most forgiving and powerful member of the Speed family. It's also fast, giving it easy acceleration from the baseline and quick handling at net. Spin comes easy, thanks to an open 16x19 string pattern and generous spin window. As with other members of the Speed family, this racquet's sub-64 RA beam stiffness gives it an arm-friendly feel at impact. For 2026, Head extends the length to 27.4"", resulting in easier power on serves and groundstrokes. Head also adds a new material technology called Hy-Bor, which puts compression-resistant boron fibers in the shaft to create a more stable and connected feel through impact. Additional technologies include the return of Auxetic 2 in the yoke and handle to further optimize the feel and response. As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, with this update, Head keeps a good thing going. Beginner and intermediate players looking to hone their skills with the help of a larger, more forgiving option will love this one.",303.0,Auxetic 2/Graphene Inside/Boron/Graphite,Medium,Medium,Medium,White/Black,Head Hydrosorb Pro,105.0,27.4,10.0,13.1,5.0,62.0,24.0,16.0,19.0,48.0,57.0
120,RCHEAD-HSMPL6,https://www.tennis-warehouse.com/Head_Speed_MP_L_2026/descpageRCHEAD-HSMPL6.html,Head Speed MP L 2026,Head,https://img.tennis-warehouse.com/watermark/rs.php?path=HSMPL6-1.jpg&nw=455,,249.0,"Updated with a new material technology for 2026 Updated with a new material technology for 2026, the Speed MP L combines easy targeting with impressive comfort. Like the previous generation, this racquet is defined by its user-friendly weight, making it ideal for improving intermediate players looking to perfect their mechanics and rise to the next level. In addition to its 16x19 string pattern, the Speed MP L 2026 has a buttery 61-RA beam stiffness, making it one of the most arm-friendly members of its class. For this update, Head introduces a new material technology called Hy-Bor, which puts compression-resistant boron fibers in the shaft to create a more stable and connected feel through impact. Additional technologies include the Auxetic 2 in the yoke and handle to further optimize the feel and response. As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, with this user-friendly version of the Speed MP, Head gives rising intermediate players an impressive combination of controllable power and great feel.",316.0,Auxetic 2/Graphene Inside/Boron/Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Black,Head Hydrosorb Pro,100.0,27.0,10.0,13.18,3.0,61.0,23.0,16.0,19.0,48.0,57.0
121,RCHEAD-HSMPUL,https://www.tennis-warehouse.com/Head_Speed_MP_UL_2026/descpageRCHEAD-HSMPUL.html,Head Speed MP UL 2026,Head,https://img.tennis-warehouse.com/watermark/rs.php?path=HSMPUL-1.jpg&nw=455,,249.0,"Head delivers the perfect entry point into the controllable power and great feel of the Speed franchise With the Speed MP L 2026, Head puts the controllable power and great feel of the Speed franchise into an extremely light and user-friendly package. With its ultra maneuverable weight, this racquet delivers an easy learning curve to dedicated beginners and early intermediate players. In addition to its 16x19 string pattern and spin-friendly targeting, the Speed MP UL 2026 has a butter 61-RA beam stiffness, making it one of the most arm-friendly models in its weight class. As with other members of the Speed family, this racquet features Hy-Bor, which puts compression-resistant boron fibers in the shaft to create a more stable and connected feel through impact. Additional technologies include the Auxetic 2 in the yoke and handle to further optimize the feel and response. As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, with this ultralight version of the Speed MP, this is a great option for novice players looking to hone their skills and rise to next level.",291.0,Auxetic 2/Graphene Inside/Boron/Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Black,Head Hydrosorb Pro,100.0,27.0,9.0,13.19,2.0,61.0,23.0,16.0,19.0,48.0,57.0
122,RCHEAD-HSPELT,https://www.tennis-warehouse.com/Head_Speed_Elite_2026/descpageRCHEAD-HSPELT.html,Head Speed Elite 2026,Head,https://img.tennis-warehouse.com/watermark/rs.php?path=HSPELT-1.jpg&nw=455,,149.0,Head serves up the perfect racquet for value hunters,303.0,Auxetic 2/Graphene Inside/Boron/Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Black,Head Hydrosorb Pro,100.0,27.0,10.0,13.19,2.0,63.0,25.0,16.0,19.0,48.0,57.0
123,RCHEAD-HSPPL5,https://www.tennis-warehouse.com/Head_Speed_Pro_Legend_2025/descpageRCHEAD-HSPPL5.html,Head Speed Pro Legend 2025,Head,https://img.tennis-warehouse.com/watermark/rs.php?path=HSPPL5-1.jpg&nw=455,5.0,269.0,"Updated with a new material technology for 2025! Head adds another chapter to the Speed Pro Legend ! Endorsed by Novak Djokovic, this racquet shares the same mold and target specs as the standard Speed Pro. In addition to its stable and plush feel, the Speed Pro Legend packs an 18x20 string pattern, giving it a very predictable and laser-like trajectory. The result is exceptional command over the ball . The Legend also packs a buttery 61RA stiffness, along with providing an outstanding sound at impact. For 2025 , Head introduces a new material technology called Hy-Bor , which puts compression-resistant boron fibers in the shaft to create a more stable and connected feel through impact. Additional technologies include the return of Auxetic 2 in the yoke and handle to further optimize the feel and response. As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, this update preserves the Speed Pro's control while also enhancing the feel (and sound). Players who like confidently driving the ball through the court will love this one.",328.0,Auxetic 2/Graphene Inside/Boron/Graphite,Low,Full,Fast,Black,Head Hydrosorb Pro,100.0,27.0,11.0,12.59,7.0,61.0,23.0,18.0,20.0,48.0,57.0
125,RCHEAD-HSMPL5,https://www.tennis-warehouse.com/Head_Speed_MP_Legend_2025/descpageRCHEAD-HSMPL5.html,Head Speed MP Legend 2025,Head,https://img.tennis-warehouse.com/watermark/rs.php?path=HSMPL5-1.jpg&nw=455,4.4,259.0,"Head introduces a new material technology with this update to the Speed MP Legend Introducing the 2025 Speed MP Legend ! Styled with a stealth black cosmetic, this stick features the same mold and factory target specs as the standard Speed MP. In addition to its comfort and controllable power, the Legend packs a 60 RA, giving it the kind of buttery feedback experienced players crave. Compared to the Speed Pro Legend, the MP comes with a 16x19 string pattern, resulting in slightly easier spin, though it stops shy of the heavy RPMs delivered by the Extreme MP. It also features a 325+ swingweight, keeping it stable against big hitters while upping the power potential. This model marks the introduction of a new material technology, Hy-Bor , which puts compression-resistant boron fibers in the shaft to create a more stable and connected feel through impact. This is complemented by Auxetic 2 in the yoke and handle to further optimize the feel and response. As with the previous generation, this model features Graphene Inside, reinforcing the frame in key areas for added power and stability. Ultimately, with some nice updates to the feel, the Speed MP Legend continues to be a solid option for intermediate and advanced ball strikers looking for controllable power and great feel.",329.0,Auxetic 2/Graphene Inside/Boron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Black,Head Hydrosorb Pro,100.0,27.0,11.0,13.0,4.0,60.0,23.0,16.0,19.0,48.0,57.0
